row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,109.547.011.307,236.200.925.566,11.936.165.334,3.746.560.523,361.430.662.730,109547011307.0,236200925566.0,11936165334.0,3746560523.0,361430662730.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,6.202.626.158,-,2.137.689.238,8.340.315.396,,6202626158.0,,2137689238.0,8340315396.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,871.418.645,-,-,-,871.418.645,871418645.0,,,,871418645.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,110.418.429.952,242.403.551.724,11.936.165.334,5.884.249.761,370.642.396.771,110418429952.0,242403551724.0,11936165334.0,5884249761.0,370642396771.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,1.833.130.884,111.900.094.884,8.689.975.256,2.246.807.138,124.670.008.162,1833130884.0,111900094884.0,8689975256.0,2246807138.0,124670008162.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(26.863.043.050),(115.839.695.483),(10.366.369.822),(2.305.735.360),(155.374.843.715),-26863043050.0,-115839695483.0,-10366369822.0,-2305735360.0,-155374843715.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(6.724.792.135),(70.433.471.190),(342.308.523),(591.370.663),(78.091.942.511),-6724792135.0,-70433471190.0,-342308523.0,-591370663.0,-78091942511.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(33.587.835.185),(186.273.166.673),(10.708.678.345),(2.897.106.023),(233.466.786.226),-33587835185.0,-186273166673.0,-10708678345.0,-2897106023.0,-233466786226.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,82.683.968.257,120.361.230.083,1.569.795.512,1.440.825.163,206.055.819.015,82683968257.0,120361230083.0,1569795512.0,1440825163.0,206055819015.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,76.830.594.767,56.130.385.051,1.227.486.989,2.987.143.738,137.175.610.545,76830594767.0,56130385051.0,1227486989.0,2987143738.0,137175610545.0
