row_label_raw,row_label_full,"Đầu tư vào công ty con (Thuyết minh số 17.1) > Đầu tư vào công ty liên doanh, liên kết (Thuyết minh số 17.2) > Đầu tư góp vốn vào đơn vị khác (Thuyết minh số 17.3)",Số cuối năm > 524.111.201.403 > 96.930.473.000 > 279.784.766,VND Số đầu năm > 170.037.347.443 > 96.930.473.000 > 11.546.634.766,numeric__Số cuối năm > 524.111.201.403 > 96.930.473.000 > 279.784.766,numeric__VND Số đầu năm > 170.037.347.443 > 96.930.473.000 > 11.546.634.766
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,621.321.459.169,278.514.455.209,621321459169.0,278514455209.0
"Dự phòng đầu tư tài chính dài hạn (Thuyết minh số 17.1, 17.2 và 17.3)","Dự phòng đầu tư tài chính dài hạn (Thuyết minh số 17.1, 17.2 và 17.3)","Dự phòng đầu tư tài chính dài hạn (Thuyết minh số 17.1, 17.2 và 17.3)",(129.814.085.495),(113.009.772.994),-129814085495.0,-113009772994.0
GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,491.507.373.674,165.504.682.215,491507373674.0,165504682215.0
