row_label_raw,row_label_full,Số dư tại ngày1/1/2024(trình bày lại)Triệu VND,Phát sinh trong năm > Số phải nộpTriệu VND,Phát sinh trong năm > Số đã nộpTriệu VND,Số dư tại ngày 31/12/2024 > Phải trảTriệu VND,Số dư tại ngày 31/12/2024 > Ứng trướcTriệu VND,Số dư tại ngày 31/12/2024 > Tổng cộngTriệu VND,numeric__Phát sinh trong năm > Số phải nộpTriệu VND,numeric__Phát sinh trong năm > Số đã nộpTriệu VND,numeric__Số dư tại ngày 31/12/2024 > Phải trảTriệu VND,numeric__Số dư tại ngày 31/12/2024 > Ứng trướcTriệu VND,numeric__Số dư tại ngày 31/12/2024 > Tổng cộngTriệu VND
48.235,48.235,48.235,1.176.478,(1.187.779),68.761,(31.827),36.934,1176478.0,-1187779.0,68761.0,-31827.0,36934.0
4.171.940,4.171.940,4.171.940,8.549.838,(8.854.401),4.358.313,(490.936),3.867.377,8549838.0,-8854401.0,4358313.0,-490936.0,3867377.0
4.172.001,4.172.001,4.172.001,8.526.496,(8.831.056),4.358.313,(490.872),3.867.441,8526496.0,-8831056.0,4358313.0,-490872.0,3867441.0
-,-,-,23.345,(23.345),-,-,-,23345.0,-23345.0,,,
(61),(61),(61),(3),-,-,(64),(64),-3.0,,,-64.0,-64.0
169.589,169.589,169.589,2.025.323,(2.002.681),192.233,(2),192.231,2025323.0,-2002681.0,192233.0,-2.0,192231.0
4.389.764,4.389.764,4.389.764,11.751.639,(12.044.861),4.619.307,(522.765),4.096.542,11751639.0,-12044861.0,4619307.0,-522765.0,4096542.0
