row_label_raw,row_label_full,col_0,2024Triệu VND,2023Triệu VND(trình bày lại),numeric__2024Triệu VND,numeric__2023Triệu VND(trình bày lại)
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,
Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,Thu nhập từ hoạt động khác > Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,3.751.009,2.090.116,3751009.0,2090116.0
Thu từ nghiệp vụ hoán đổi lãi suất,Thu nhập từ hoạt động khác > Thu từ nghiệp vụ hoán đổi lãi suất,Thu từ nghiệp vụ hoán đổi lãi suất,466.824,1.649.614,466824.0,1649614.0
Thu nhập từ hoàn nhập dự phòng rủi ro,Thu nhập từ hoạt động khác > Thu nhập từ hoàn nhập dự phòng rủi ro,Thu nhập từ hoàn nhập dự phòng rủi ro,-,115,,115.0
Thu nhập khác,Thu nhập từ hoạt động khác > Thu nhập khác,Thu nhập khác,250.973,311.592,250973.0,311592.0
,,,4.468.806,4.051.437,4468806.0,4051437.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,
Chi phí cho nghiệp vụ hoán đổi lãi suất,Chi phí hoạt động khác > Chi phí cho nghiệp vụ hoán đổi lãi suất,Chi phí cho nghiệp vụ hoán đổi lãi suất,(557.373),(830.832),-557373.0,-830832.0
Chi về nghiệp vụ bán nợ,Chi phí hoạt động khác > Chi về nghiệp vụ bán nợ,Chi về nghiệp vụ bán nợ,(99),(92),-99.0,-92.0
Chi công tác xã hội,Chi phí hoạt động khác > Chi công tác xã hội,Chi công tác xã hội,(545.792),(332.327),-545792.0,-332327.0
Chi phí khác,Chi phí hoạt động khác > Chi phí khác,Chi phí khác,(993.839),(614.724),-993839.0,-614724.0
,,,(2.097.103),(1.777.975),-2097103.0,-1777975.0
,,,2.371.703,2.273.462,2371703.0,2273462.0
