row_label_raw,row_label_full,col_0,col_1,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng cộng,numeric__col_1,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 tháng đến 6 tháng,numeric__Từ trên 6 tháng đến 12 tháng,numeric__Từ trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
,,,Tài sản,,,,,,,,,,,,,,,,,,,
I,I,I,"Tiền mặt, vàng bạc, đá quý",-,14.268.064,-,-,-,-,-,-,14.268.064,,,14268064.0,,,,,,,14268064.0
II,II,II,Tiền gửi tại NHNN,-,-,49.340.493,-,-,-,-,-,49.340.493,,,,49340493.0,,,,,,49340493.0
III,III,III,Tiền gửi và cho vay các TCTD khác - gộp,-,23.119,366.686.703,21.880.981,374.325,1.986.770,-,-,390.951.898,,,23119.0,366686703.0,21880981.0,374325.0,1986770.0,,,390951898.0
IV,IV,IV,Chứng khoán kinh doanh - gộp,-,521.933,4.386.594,-,-,-,-,-,4.908.527,,,521933.0,4386594.0,,,,,,4908527.0
IV,IV,IV,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,1.314.434,-,-,-,-,-,-,1.314.434,,,1314434.0,,,,,,,1314434.0
VI,VI,VI,Cho vay khách hàng - gộp,27.994.464,-,222.597.618,538.648.214,408.625.864,110.153.604,140.238.369,940.766,1.449.198.899,,27994464.0,,222597618.0,538648214.0,408625864.0,110153604.0,140238369.0,940766.0,1449198899.0
VII,VII,VII,Chứng khoán đầu tư - gộp,-,-,17.663.819,5.743.678,49.087.444,29.265.286,41.773.460,24.095.754,167.629.441,,,,17663819.0,5743678.0,49087444.0,29265286.0,41773460.0,24095754.0,167629441.0
VIII,VIII,VIII,"Góp vốn, đầu tư dài hạn - gộp",-,2.303.098,-,-,-,-,-,-,2.303.098,,,2303098.0,,,,,,,2303098.0
IX,IX,IX,Tài sản cố định,-,8.092.877,-,-,-,-,-,-,8.092.877,,,8092877.0,,,,,,,8092877.0
X,X,X,Tài sản Có khác - gộp,-,30.416.385,-,-,-,-,-,-,30.416.385,,,30416385.0,,,,,,,30416385.0
,,,Tổng tài sản,27.994.464,56.939.910,660.675.227,566.272.873,458.087.633,141.405.660,182.011.829,25.036.520,2.118.424.116,,27994464.0,56939910.0,660675227.0,566272873.0,458087633.0,141405660.0,182011829.0,25036520.0,2118424116.0
,,,Nợ phải trả,,,,,,,,,,,,,,,,,,,
I,I,I,Các khoản nợ Chính phủ và NHNN và tiền gửi và vay các TCTD khác,-,-,254.316.285,55.783.793,511.367,2.159.850,-,-,312.771.295,,,,254316285.0,55783793.0,511367.0,2159850.0,,,312771295.0
II,II,II,Tiền gửi của khách hàng,-,112.330,757.038.772,292.475.258,210.656.915,249.380.606,4.964.301,36.668,1.514.664.850,,,112330.0,757038772.0,292475258.0,210656915.0,249380606.0,4964301.0,36668.0,1514664850.0
III,III,III,"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,529,-,-,-,-,-,529,,,,529.0,,,,,,529.0
IV,IV,IV,Phát hành giấy tờ có giá,-,-,520.059,12.000.000,-,8.240.000,2.000.000,1.365.000,24.125.059,,,,520059.0,12000000.0,,8240000.0,2000000.0,1365000.0,24125059.0
V,V,V,Các khoản nợ phải trả khác,-,37.585.202,-,517.419,-,-,-,-,38.102.621,,,37585202.0,,517419.0,,,,,38102621.0
,,,Tổng nợ phải trả,-,37.697.532,1.011.875.645,360.776.470,211.168.282,259.780.456,6.964.301,1.401.668,1.889.664.354,,,37697532.0,1011875645.0,360776470.0,211168282.0,259780456.0,6964301.0,1401668.0,1889664354.0
,,,Mức chênh nhạy cảm với lãi suất nội bảng,27.994.464,19.242.378,(351.200.418),205.496.403,246.919.351,(118.374.796),175.047.528,23.634.852,228.759.762,,27994464.0,19242378.0,-351200418.0,205496403.0,246919351.0,-118374796.0,175047528.0,23634852.0,228759762.0
,,,Lũy kế chênh lệch nhạy cảm với lãi suất,27.994.464,47.236.842,(303.963.576),(98.467.173),148.452.178,30.077.382,205.124.910,228.759.762,,,27994464.0,47236842.0,-303963576.0,-98467173.0,148452178.0,30077382.0,205124910.0,228759762.0,
