row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng_1,Quỹ của tổ chức tín dụng_2,Quỹ của tổ chức tín dụng_3,Chênh lệch tỷ giá hối đoái,Lợi nhuận chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác,numeric__Quỹ của tổ chức tín dụng,numeric__Quỹ của tổ chức tín dụng_1,numeric__Quỹ của tổ chức tín dụng_2,numeric__Quỹ của tổ chức tín dụng_3,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Quỹ dự phòng tài chính Triệu VND,Quỹ đầu tư phát triển Triệu VND,Tổng cộng,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,
Số dư tại ngày 1/1/2024(trình bày lại),Số dư tại ngày 1/1/2024(trình bày lại),Số dư tại ngày 1/1/2024(trình bày lại),55.890.913,4.995.389,809.837,9.137.728,18.266.988,42.400,27.447.116,(983.237),76.826.482,93.990,165.080.490,55890913.0,4995389.0,809837.0,9137728.0,18266988.0,42400.0,27447116.0,-983237.0,76826482.0,93990.0,165080490.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,33.831.386,21.731,33.853.117,,,,,,,,,33831386.0,21731.0,33853117.0
Tạm trích các quỹ trong năm 2024 của Ngân hàng,Tạm trích các quỹ trong năm 2024 của Ngân hàng,Tạm trích các quỹ trong năm 2024 của Ngân hàng,-,-,-,3.308.416,3.308.416,661.683,7.278.515,-,(7.278.515),-,-,,,,3308416.0,3308416.0,661683.0,7278515.0,,-7278515.0,,
"Tạm trích quỹ khen thưởng, phúc lợi trong năm 2024 của Ngân hàng","Tạm trích quỹ khen thưởng, phúc lợi trong năm 2024 của Ngân hàng","Tạm trích quỹ khen thưởng, phúc lợi trong năm 2024 của Ngân hàng",-,-,-,-,-,-,-,-,(2.681.557),-,(2.681.557),,,,,,,,,-2681557.0,,-2681557.0
Điều chỉnh theo Nghị quyết của Hội đồng quản trị - Ngân hàng mẹ,Điều chỉnh theo Nghị quyết của Hội đồng quản trị - Ngân hàng mẹ,Điều chỉnh theo Nghị quyết của Hội đồng quản trị - Ngân hàng mẹ,-,-,-,1.632.923,11.019,650.965,2.294.907,-,(2.348.930),-,(54.023),,,,1632923.0,11019.0,650965.0,2294907.0,,-2348930.0,,-54023.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(718),-,(718),-,-,-,(718),,,,,-718.0,,-718.0,,,,-718.0
Trích quỹ của các công ty con,Trích quỹ của các công ty con,Trích quỹ của các công ty con,-,-,-,13.206,13.206,-,26.412,-,(37.767),-,(11.355),,,,13206.0,13206.0,,26412.0,,-37767.0,,-11355.0
Điều chỉnh theo Nghị quyết của Công ty con,Điều chỉnh theo Nghị quyết của Công ty con,Điều chỉnh theo Nghị quyết của Công ty con,-,-,-,-,4.147,2.595,6.742,-,(52.547),(708),(46.513),,,,,4147.0,2595.0,6742.0,,-52547.0,-708.0,-46513.0
"Điều chỉnh công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu","Điều chỉnh công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu","Điều chỉnh công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu",-,-,-,-,-,-,-,-,3.342,-,3.342,,,,,,,,,3342.0,,3342.0
Trả cổ tức,Trả cổ tức,Trả cổ tức,-,-,-,-,-,-,-,-,-,(19.963),(19.963),,,,,,,,,,-19963.0,-19963.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,-,-,14.945,-,1.211,16.156,,,,,,,,14945.0,,1211.0,16156.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,-,-,70.192,-,70.192,,,,,,,,,70192.0,,70192.0
Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,55.890.913,4.995.389,809.837,14.092.273,21.603.058,1.357.643,37.052.974,(968.292),98.332.086,96.261,196.209.168,55890913.0,4995389.0,809837.0,14092273.0,21603058.0,1357643.0,37052974.0,-968292.0,98332086.0,96261.0,196209168.0
