row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Bản quyền và bằng sáng chếTriệu VND,Tài sản cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Bản quyền và bằng sáng chếTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.504.834,2.323.910,78.137,4.906.881,2504834.0,2323910.0,78137.0,4906881.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,155.641,10.380,166.021,,155641.0,10380.0,166021.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,-,155.096,5.501,160.597,,155096.0,5501.0,160597.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,-,545,4.879,5.424,,545.0,4879.0,5424.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(163),(4),(167),,-163.0,-4.0,-167.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(107),-,(107),,-107.0,,-107.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,-,(56),(4),(60),,-56.0,-4.0,-60.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.504.834,2.479.388,88.513,5.072.735,2504834.0,2479388.0,88513.0,5072735.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm(trình bày lại),Hao mòn lũy kế > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),148.464,2.127.866,38.275,2.314.605,148464.0,2127866.0,38275.0,2314605.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,14.826,167.238,13.896,195.960,14826.0,167238.0,13896.0,195960.0
- Hao mòn,Hao mòn lũy kế > - Hao mòn,- Hao mòn,14.826,167.149,13.896,195.871,14826.0,167149.0,13896.0,195871.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,-,89,-,89,,89.0,,89.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,-,(124),(4),(128),,-124.0,-4.0,-128.0
"- Thanh lý, nhượng bán","Hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(107),-,(107),,-107.0,,-107.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,-,(17),(4),(21),,-17.0,-4.0,-21.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,163.290,2.294.980,52.167,2.510.437,163290.0,2294980.0,52167.0,2510437.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm(trình bày lại),Giá trị còn lại > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),2.356.370,196.044,39.862,2.592.276,2356370.0,196044.0,39862.0,2592276.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.341.544,184.408,36.346,2.562.298,2341544.0,184408.0,36346.0,2562298.0
