row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2024Triệu VND,31/12/2023Triệu VND(trình bày lại),numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2024Triệu VND,numeric__31/12/2023Triệu VND(trình bày lại)
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNN,16,78.237.337,1.670.837,,16.0,78237337.0,1670837.0
1,B > 1,1,Tiền gửi và vay Chính phủ và NHNN,,78.237.337,1.670.837,,,78237337.0,1670837.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,234.533.958,213.838.980,,17.0,234533958.0,213838980.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,223.171.381,193.963.218,,,223171381.0,193963218.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,11.362.577,19.875.762,,,11362577.0,19875762.0
III,B > III,III,Tiền gửi của khách hàng,18,1.514.664.850,1.395.697.611,,18.0,1514664850.0,1395697611.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,8,-,117.752,,8.0,,117752.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",19,529,365,,19.0,529.0,365.0
VI,B > VI,VI,Phát hành giấy tờ có giá,20,24.125.059,19.912.623,,20.0,24125059.0,19912623.0
VII,B > VII,VII,Các khoản nợ khác,,38.102.621,43.405.902,,,38102621.0,43405902.0
1,B > 1,1,"Các khoản lãi, phí phải trả",21(a),13.990.276,19.527.028,,,13990276.0,19527028.0
3,B > 3,3,Các khoản phải trả và công nợ khác,21(b),24.112.345,23.878.874,,,24112345.0,23878874.0
,,,TỔNG NỘ PHẢI TRẢ,,1.889.664.354,1.674.644.070,,,1889664354.0,1674644070.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,22,,,,22.0,,
1,B > 1,1,Vốn của tổ chức tín dụng,,61.696.139,61.696.139,,,61696139.0,61696139.0
a,B > a,a,Vốn điều lệ,,55.890.913,55.890.913,,,55890913.0,55890913.0
c,B > c,c,Thăng dư vốn cổ phần,,4.995.389,4.995.389,,,4995389.0,4995389.0
g,B > g,g,Vốn khác,,809.837,809.837,,,809837.0,809837.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,37.052.974,27.447.116,,,37052974.0,27447116.0
3,B > 3,3,Chênh lệch tỷ giá hối đoái,,(968.292),(983.237),,,-968292.0,-983237.0
5,B > 5,5,Lợi nhuận chưa phân phối,,98.332.086,76.826.482,,,98332086.0,76826482.0
a,B > a,a,Lợi nhuận để lại năm trước,,74.498.539,51.185.561,,,74498539.0,51185561.0
b,B > b,b,Lợi nhuận để lại năm nay,,23.833.547,25.640.921,,,23833547.0,25640921.0
6,B > 6,6,Lợi ích của cổ đông không kiểm soát,,96.261,93.990,,,96261.0,93990.0
,,,TỔNG VỐN CHỦ SỞ HỮU,22(a),196.209.168,165.080.490,,,196209168.0,165080490.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,2.085.873.522,1.839.724.560,,,2085873522.0,1839724560.0
