row_label_raw,row_label_full,Ngân hàng Nhà nước Việt NamTiền gửi của Vietcombank tại NHNNVNTiền gửi và tiền vay của NHNNVNTại Vietcombank,Mối liên quan > Đại diệnchủ sở hữu,31/12/2024Triệu VNDPhải thu/(Phải trả) > 49.081.534(587.278),31/12/2023Triệu VND > 57.937.612(900.956),numeric__Mối liên quan > Đại diệnchủ sở hữu,numeric__31/12/2024Triệu VNDPhải thu/(Phải trả) > 49.081.534(587.278),numeric__31/12/2023Triệu VND > 57.937.612(900.956)
Bộ Tài chínhTiền gửi tại VietcombankVay Bộ Tài chính,Bộ Tài chínhTiền gửi tại VietcombankVay Bộ Tài chính,Bộ Tài chínhTiền gửi tại VietcombankVay Bộ Tài chính,Bên liên quancủa chủ sở hữu,(77.650.059)(517.419),(769.881)(613.574),,,
"Mizuho Bank Ltd., Nhật BảnTiền gửi của Vietcombank tại Mizuho Bank Ltd.,Tiền gửi của Mizuho Bank Ltd., tạiVietcombank","Mizuho Bank Ltd., Nhật BảnTiền gửi của Vietcombank tại Mizuho Bank Ltd.,Tiền gửi của Mizuho Bank Ltd., tạiVietcombank","Mizuho Bank Ltd., Nhật BảnTiền gửi của Vietcombank tại Mizuho Bank Ltd.,Tiền gửi của Mizuho Bank Ltd., tạiVietcombank",Cổ đông chiếnlược,12.655.173(1.881.197),1.800.000(1.312.937),,,
