row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Tổng cộng,numeric__Chưa quá hạn và chưa bị giảm giá Triệu VND,numeric__Đã quá hạn nhưng chưa bị giảm giá Triệu VND,numeric__Đã bị giảm giá và trích lập dự phòng Triệu VND,numeric__Tổng cộng
,,,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Triệu VND,,,,
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,49.340.493,-,-,49.340.493,49340493.0,,,49340493.0
Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,389.951.898,-,1.000.000,390.951.898,389951898.0,,1000000.0,390951898.0
Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,384.031.890,-,-,384.031.890,384031890.0,,,384031890.0
Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,5.920.008,-,1.000.000,6.920.008,5920008.0,,1000000.0,6920008.0
Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,4.386.594,-,-,4.386.594,4386594.0,,,4386594.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,1.407.764.011,14.060.905,27.373.983,1.449.198.899,1407764011.0,14060905.0,27373983.0,1449198899.0
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,167.450.690,-,178.751,167.629.441,167450690.0,,178751.0,167629441.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,86.799.901,-,-,86.799.901,86799901.0,,,86799901.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,80.650.789,-,178.751,80.829.540,80650789.0,,178751.0,80829540.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,24.458.635,-,-,24.458.635,24458635.0,,,24458635.0
,,,2.043.352.321,14.060.905,28.552.734,2.085.965.960,2043352321.0,14060905.0,28552734.0,2085965960.0
