row_label_raw,row_label_full,STT,Chỉ tiêu,2024Triệu VND,2023Triệu VND,numeric__Chỉ tiêu,numeric__2024Triệu VND,numeric__2023Triệu VND
,,,LUỦ CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUỦ CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUỦ CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01,01,01,Mua sắm tài sản cố định,(1.480.121),(1.008.160),,-1480121.0,-1008160.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",12.504,9.435,,12504.0,9435.0
03,03,03,"Tiền chi cho thanh lý, nhượng bán tài sản cố định",(1.252),(6.770),,-1252.0,-6770.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",747,-,,747.0,
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoảnđầu tư, góp vốn dài hạn",160.709,135.403,,160709.0,135403.0
10,10,10,Tiền thu từ cổ tức đã có quyết định từ năm trước,-,10.685,,,10685.0
II,II,II,Lưu chuyển tiền thuần cho hoạt động đầu tư,(1.307.413),(859.407),,-1307413.0,-859407.0
,,,LUỦ CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUỦ CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUỦ CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
04,04,04,"Cổ tức đã trả cho cổ đông, lợi nhuận đã chia",(19.963),(15.627),,-19963.0,-15627.0
III,III,III,Lưu chuyển tiền thuần cho hoạt động tài chính,(19.963),(15.627),,-19963.0,-15627.0
IV,IV,IV,Lưu chuyển tiền thuần trong năm,57.795.455,(39.416.564),,57795455.0,-39416564.0
V,V,V,Tiền và các khoản tương đương tiền tại thời điểmđầu năm,372.818.730,412.235.294,,372818730.0,412235294.0
VI,VI,VI,Tiền và các khoản tương đương tiền tại thời điểm cuối năm (Thuyết minh 35),430.614.185,372.818.730,,430614185.0,372818730.0
