row_label_raw,row_label_full,col_0,31/12/2023Triệu VND(trình bày lại),31/12/2023Triệu VND(theo báo cáotrước đây),Chênh lệchTriệu VND,numeric__31/12/2023Triệu VND(trình bày lại),numeric__31/12/2023Triệu VND(theo báo cáotrước đây),numeric__Chênh lệchTriệu VND
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,336.501.657,336.468.607,33.050,336501657.0,336468607.0,33050.0
Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,312.001.875,312.001.875,-,312001875.0,312001875.0,
Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,30.175.707,30.175.707,-,30175707.0,30175707.0,
Dự phòng rủi ro,Dự phòng rủi ro,Dự phòng rủi ro,(5.675.925),(5.708.975),33.050,-5675925.0,-5708975.0,33050.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,1.241.677.211,1.241.675.333,1.878,1241677211.0,1241675333.0,1878.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,1.270.359.018,1.270.359.018,-,1270359018.0,1270359018.0,
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(28.681.807),(28.683.685),1.878,-28681807.0,-28683685.0,1878.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,7.805.080,7.708.181,96.899,7805080.0,7708181.0,96899.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,5.212.804,5.115.612,97.192,5212804.0,5115612.0,97192.0
Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,14.812.856,14.714.588,98.268,14812856.0,14714588.0,98268.0
Hao mòn tài sản cố định,Hao mòn tài sản cố định,Hao mòn tài sản cố định,(9.600.052),(9.598.976),(1.076),-9600052.0,-9598976.0,-1076.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,2.592.276,2.592.569,(293),2592276.0,2592569.0,-293.0
Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,4.906.881,4.906.881,-,4906881.0,4906881.0,
Hao mòn tài sản cố định,Hao mòn tài sản cố định,Hao mòn tài sản cố định,(2.314.605),(2.314.312),(293),-2314605.0,-2314312.0,-293.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,30.630.840,30.651.305,(20.465),30630840.0,30651305.0,-20465.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,11.790.173,11.790.173,-,11790173.0,11790173.0,
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",9.265.453,9.200.022,65.431,9265453.0,9200022.0,65431.0
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,848.268,848.268,-,848268.0,848268.0,
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,8.742.409,8.828.305,(85.896),8742409.0,8828305.0,-85896.0
Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,(15.463),(15.463),-,-15463.0,-15463.0,
Tổng ảnh hưởng,Tổng ảnh hưởng,Tổng ảnh hưởng,,,111.362,,,111362.0
