row_label_raw,row_label_full,col_0,col_1,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng,numeric__col_1,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng
,,,,Trên3 tháng,Đến 3tháng,Đến 1 tháng,Từ trên1 tháng đến3 tháng,Từ trên3 tháng đến12 tháng,Từ trên1 năm đến5 năm,Trên 5 năm,Tổng cộng,,,,,,,,,
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
,,,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
I,I,I,"Tiền mật, vàng bạc, đá quý",-,-,14.268.064,-,-,-,-,14.268.064,,,,14268064.0,,,,,14268064.0
II,II,II,Tiền gửi tại NHNN,-,-,49.340.493,-,-,-,-,49.340.493,,,,49340493.0,,,,,49340493.0
III,III,III,Tiền gửi và cho vay các TCTD khác – gộp,-,-,366.709.822,21.880.981,2.361.095,-,-,390.951.898,,,,366709822.0,21880981.0,2361095.0,,,390951898.0
IV,IV,IV,Chứng khoán kinh doanh – gộp,-,-,3.908.382,-,1.000.145,-,-,4.908.527,,,,3908382.0,,1000145.0,,,4908527.0
V,V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,1.314.434,-,-,-,1.314.434,,,,,1314434.0,,,,1314434.0
VI,VI,VI,Cho vay khách hàng – gộp,12.216.464,15.778.000,114.225.733,353.999.543,497.455.189,212.519.348,243.004.622,1.449.198.899,,12216464.0,15778000.0,114225733.0,353999543.0,497455189.0,212519348.0,243004622.0,1449198899.0
VII,VII,VII,Chứng khoán đầu tư – gộp,-,-,10.500.069,5.543.678,77.062.150,41.242.695,33.280.849,167.629.441,,,,10500069.0,5543678.0,77062150.0,41242695.0,33280849.0,167629441.0
VIII,VIII,VIII,"Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,2.303.098,2.303.098,,,,,,,,2303098.0,2303098.0
IX,IX,IX,Tài sản cố định,-,-,-,-,-,-,8.092.877,8.092.877,,,,,,,,8092877.0,8092877.0
X,X,X,Tài sản Có khác – gộp,-,-,5.197.133,16.597.348,6.704.033,1.749.702,168.169,30.416.385,,,,5197133.0,16597348.0,6704033.0,1749702.0,168169.0,30416385.0
,,,Tổng tài sản,12.216.464,15.778.000,564.149.696,399.335.984,584.582.612,255.511.745,286.849.615,2.118.424.116,,12216464.0,15778000.0,564149696.0,399335984.0,584582612.0,255511745.0,286849615.0,2118424116.0
,,,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
I,I,I,Các khoản nợ Chính phủ và NHNNvà tiền gửi và vay các TCTD khác,-,-,254.316.285,54.518.113,2.821.432,614.373,501.092,312.771.295,,,,254316285.0,54518113.0,2821432.0,614373.0,501092.0,312771295.0
II,II,II,Tiền gửi của khách hàng,-,-,757.039.860,292.475.409,460.077.886,5.035.027,36.668,1.514.664.850,,,,757039860.0,292475409.0,460077886.0,5035027.0,36668.0,1514664850.0
III,III,III,"Vốn tài trợ, ủy thác đầu tư, cho vay màTCTD chịu rủi ro",-,-,529,-,-,-,-,529,,,,529.0,,,,,529.0
IV,IV,IV,Phát hành giấy tờ có giá,-,-,520.726,12.000.000,2.300.000,2.000.000,7.304.333,24.125.059,,,,520726.0,12000000.0,2300000.0,2000000.0,7304333.0,24125059.0
V,V,V,Các khoản nợ phải trả khác,-,-,5.985.348,25.553.779,5.823.181,670.262,70.051,38.102.621,,,,5985348.0,25553779.0,5823181.0,670262.0,70051.0,38102621.0
,,,Tổng nợ phải trả,-,-,1.017.862.748,384.547.301,471.022.499,8.319.662,7.912.144,1.889.664.354,,,,1017862748.0,384547301.0,471022499.0,8319662.0,7912144.0,1889664354.0
,,,Mức chênh thanh khoản ròng,12.216.464,15.778.000,(453.713.052),14.788.683,113.560.113,247.192.083,278.937.471,228.759.762,,12216464.0,15778000.0,-453713052.0,14788683.0,113560113.0,247192083.0,278937471.0,228759762.0
