row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2024:,Năm kết thúc ngày 31 tháng 12 năm 2024:_1,Dịch vụ tài chính ngân hàng Triệu VND,Dịch vụ tài chính phi ngân hàng Triệu VND,Chứng khoán Triệu VND,Khác Triệu VND,Loại trừ Triệu VND,Tổng cộng Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024:_1,numeric__Dịch vụ tài chính ngân hàng Triệu VND,numeric__Dịch vụ tài chính phi ngân hàng Triệu VND,numeric__Chứng khoán Triệu VND,numeric__Khác Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng cộng Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,198.578.272(144.165.180),724.277(399.505),947.520(343.741),182.596(128.661),(106.777.824)106.787.981,93.654.841(38.249.106),,,,,,,
2,2,2,Chi phí lãi và các chi phí tương tự,198.578.272(144.165.180),724.277(399.505),947.520(343.741),182.596(128.661),(106.777.824)106.787.981,93.654.841(38.249.106),,,,,,,
I,2 > I,I,Thu nhập lãi thuần,54.413.092,324.772,603.779,53.935,10.157,55.405.735,,54413092.0,324772.0,603779.0,53935.0,10157.0,55405735.0
3,2 > 3,3,Thu nhập từ hoạt động dịch vụ,12.606.867,8.533,410.605,292.299,(175.299),13.143.005,,12606867.0,8533.0,410605.0,292299.0,-175299.0,13143005.0
4,2 > 4,4,Chi phí hoạt động dịch vụ,(7.839.349),(1.858),(113.800),(79.222),27.785,(8.006.444),,-7839349.0,-1858.0,-113800.0,-79222.0,27785.0,-8006444.0
II,2 > II,II,Lãi thuần từ hoạt động dịch vụ,4.767.518,6.675,296.805,213.077,(147.514),5.136.561,,4767518.0,6675.0,296805.0,213077.0,-147514.0,5136561.0
III,2 > III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,5.279.655,9.619,-,-,2.477,5.291.751,,5279655.0,9619.0,,,2477.0,5291751.0
IV,2 > IV,IV,(Lỗ)/lãi thuần từ mua bán chứng khoán kinh doanh,(20.901),-,93.181,-,(10.157),62.123,,-20901.0,,93181.0,,-10157.0,62123.0
V,2 > V,V,Lãi thuần từ mua bán chứng khoán đầu tư,3.444,-,-,-,-,3.444,,3444.0,,,,,3444.0
5,2 > 5,5,Thu nhập từ hoạt động khác,4.437.789,13.962,14.277,2.778,-,4.468.806,,4437789.0,13962.0,14277.0,2778.0,,4468806.0
6,2 > 6,6,Chi phí hoạt động khác,(2.083.671),(40),(13.377),(15),-,(2.097.103),,-2083671.0,-40.0,-13377.0,-15.0,,-2097103.0
VI,2 > VI,VI,Lãi thuần từ hoạt động khác,2.354.118,13.922,900,2.763,-,2.371.703,,2354118.0,13922.0,900.0,2763.0,,2371703.0
VII,2 > VII,VII,"Thu nhập từ góp vốn, mua cổ phần",302.038,-,5.141,-,-,307.179,,302038.0,,5141.0,,,307179.0
,,,Tổng thu nhập hoạt động,67.098.964,354.988,999.806,269.775,(145.037),68.578.496,,67098964.0,354988.0,999806.0,269775.0,-145037.0,68578496.0
VIII,2 > VIII,VIII,Chi phí hoạt động,(22.556.575),(105.569),(374.514),(138.217),147.512,(23.027.363),,-22556575.0,-105569.0,-374514.0,-138217.0,147512.0,-23027363.0
IX,2 > IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,44.542.389,249.419,625.292,131.558,2.475,45.551.133,,44542389.0,249419.0,625292.0,131558.0,2475.0,45551133.0
X,2 > X,X,Chi phí dự phòng rủi ro tín dụng,(3.240.040),(74.958),-,-,-,(3.314.998),,-3240040.0,-74958.0,,,,-3314998.0
XI,2 > XI,XI,Tổng lợi nhuận trước thuế,41.302.349,174.461,625.292,131.558,2.475,42.236.135,,41302349.0,174461.0,625292.0,131558.0,2475.0,42236135.0
7,2 > 7,7,Chi phí thuế TNDN hiện hành,(8.341.988),(34.287),(127.043),(23.178),-,(8.526.496),,-8341988.0,-34287.0,-127043.0,-23178.0,,-8526496.0
8,2 > 8,8,Thu nhập thuế TNDN hoãn lại,140.493,-,2.985,-,-,143.478,,140493.0,,2985.0,,,143478.0
XII,2 > XII,XII,Chi phí thuế TNDN,(8.201.495),(34.287),(124.058),(23.178),-,(8.383.018),,-8201495.0,-34287.0,-124058.0,-23178.0,,-8383018.0
XIII,2 > XIII,XIII,Lợi nhuận sau thuế,33.100.854,140.174,501.234,108.380,2.475,33.853.117,,33100854.0,140174.0,501234.0,108380.0,2475.0,33853117.0
