row_label_raw,row_label_full,col_0,2023Triệu VND(trình bày lại),2023Triệu VND(theo báo cáotrước đây),Chênh lệchTriệu VND,numeric__2023Triệu VND(trình bày lại),numeric__2023Triệu VND(theo báo cáotrước đây),numeric__Chênh lệchTriệu VND
Thu nhập lãi và các khoản thu nhậptrong tự,Thu nhập lãi và các khoản thu nhậptrong tự,Thu nhập lãi và các khoản thu nhậptrong tự,108.115.840(54.501.409),108.122.278(54.501.409),(6.438)-,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,108.115.840(54.501.409),108.122.278(54.501.409),(6.438)-,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,53.614.431,53.620.869,(6.438),53614431.0,53620869.0,-6438.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,12.698.083(6.872.673),12.632.739(6.853.016),65.344(19.657),,,
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,12.698.083(6.872.673),12.632.739(6.853.016),65.344(19.657),,,
Lãi thuần từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ > Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,5.825.410,5.779.723,45.687,5825410.0,5779723.0,45687.0
Lãi thuần từ mua bán chứng khoánkinh doanh,Chi phí hoạt động dịch vụ > Lãi thuần từ mua bán chứng khoánkinh doanh,Lãi thuần từ mua bán chứng khoánkinh doanh,124.539,124.217,322,124539.0,124217.0,322.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,4.051.437(1.777.975),4.050.144(1.777.975),1.293-,,,
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,4.051.437(1.777.975),4.050.144(1.777.975),1.293-,,,
Lãi thuần từ hoạt động khác,Chi phí hoạt động khác > Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,2.273.462,2.272.169,1.293,2273462.0,2272169.0,1293.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí hoạt động khác > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,67.764.326,67.723.462,40.864,67764326.0,67723462.0,40864.0
CHI PHÍ HOẠT ĐỘNG,Chi phí hoạt động khác > CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,(21.905.912),(21.914.899),8.987,-21905912.0,-21914899.0,8987.0
Lợi nhuận thuần từ hoạt động kinhdoanh trước chi phí dự phòng rủi ro tín dụng,Chi phí hoạt động khác > Lợi nhuận thuần từ hoạt động kinhdoanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinhdoanh trước chi phí dự phòng rủi ro tín dụng,45.858.414,45.808.563,49.851,45858414.0,45808563.0,49851.0
Chi phí dự phòng rủi ro tín dụng,Chi phí hoạt động khác > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(4.529.947),(4.564.876),34.929,-4529947.0,-4564876.0,34929.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí hoạt động khác > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,41.328.467,41.243.687,84.780,41328467.0,41243687.0,84780.0
Chi phí thuế thu nhập doanh nghiệp-hiện hành,Chi phí hoạt động khác > Chi phí thuế thu nhập doanh nghiệp-hiện hành,Chi phí thuế thu nhập doanh nghiệp-hiện hành,(8.096.357),(8.079.401),(16.956),-8096357.0,-8079401.0,-16956.0
Chi phí thuế thu nhập doanh nghiệp -hoản lại,Chi phí hoạt động khác > Chi phí thuế thu nhập doanh nghiệp -hoản lại,Chi phí thuế thu nhập doanh nghiệp -hoản lại,(109.838),(109.838),-,-109838.0,-109838.0,
Chi phí thuế thu nhập doanh nghiệp,Chi phí hoạt động khác > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,(8.206.195),(8.189.239),(16.956),-8206195.0,-8189239.0,-16956.0
LỢI NHUẬN SAU THUẾ,Chi phí hoạt động khác > LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,33.122.272,33.054.448,67.824,33122272.0,33054448.0,67824.0
Lợi nhuận thuần của cổ đông Ngân hàng,Chi phí hoạt động khác > Lợi nhuận thuần của cổ đông Ngân hàng,Lợi nhuận thuần của cổ đông Ngân hàng,33.101.027,33.033.203,67.824,33101027.0,33033203.0,67824.0
Lãi cơ bản trên cổ phiếu(VND/cổ phiếu),Chi phí hoạt động khác > Lãi cơ bản trên cổ phiếu(VND/cổ phiếu),Lãi cơ bản trên cổ phiếu(VND/cổ phiếu),5.462,5.449,13,5462.0,5449.0,13.0
