row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phương tiệnvận tải,truyền đầnTriệu VND",Tài sản cố định hữuhình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phương tiệnvận tải,truyền đầnTriệu VND",numeric__Tài sản cố định hữuhình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm(trình bày lại),Nguyên giá > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),6.133.787,5.023.704,1.591.342,2.064.023,14.812.856,6133787.0,5023704.0,1591342.0,2064023.0,14812856.0
Tăng trong năm- Mua mới,Nguyên giá > Tăng trong năm- Mua mới,Tăng trong năm- Mua mới,248.475,775.502,156.012,164.411,1.344.400,248475.0,775502.0,156012.0,164411.0,1344400.0
Tăng trong năm- Mua mới,Nguyên giá > Tăng trong năm- Mua mới,Tăng trong năm- Mua mới,247.948,775.502,156.012,140.062,1.319.524,247948.0,775502.0,156012.0,140062.0,1319524.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,527,-,-,24.349,24.876,527.0,,,24349.0,24876.0
"Giảm trong năm- Thanh lý, nhượng bán","Nguyên giá > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(112.830),(164.057),(38.792),(33.275),(348.954),-112830.0,-164057.0,-38792.0,-33275.0,-348954.0
"Giảm trong năm- Thanh lý, nhượng bán","Nguyên giá > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(9.069),(150.132),(33.243),(33.259),(225.703),-9069.0,-150132.0,-33243.0,-33259.0,-225703.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(103.761),(13.925),(5.549),(16),(123.251),-103761.0,-13925.0,-5549.0,-16.0,-123251.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,6.269.432,5.635.149,1.708.562,2.195.159,15.808.302,6269432.0,5635149.0,1708562.0,2195159.0,15808302.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư đầu năm(trình bày lại),Hao mòn lũy kế > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),2.244.737,4.586.043,982.129,1.787.143,9.600.052,2244737.0,4586043.0,982129.0,1787143.0,9600052.0
Tăng trong năm- Khấu hao,Hao mòn lũy kế > Tăng trong năm- Khấu hao,Tăng trong năm- Khấu hao,262.058,360.195,131.223,145.579,899.055,262058.0,360195.0,131223.0,145579.0,899055.0
Tăng trong năm- Khấu hao,Hao mòn lũy kế > Tăng trong năm- Khấu hao,Tăng trong năm- Khấu hao,261.872,360.195,127.866,140.622,890.555,261872.0,360195.0,127866.0,140622.0,890555.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,186,-,3.357,4.957,8.500,186.0,,3357.0,4957.0,8500.0
"Giảm trong năm- Thanh lý, nhượng bán","Hao mòn lũy kế > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(1.934),(152.022),(33.460),(33.968),(221.384),-1934.0,-152022.0,-33460.0,-33968.0,-221384.0
"Giảm trong năm- Thanh lý, nhượng bán","Hao mòn lũy kế > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(1.458),(148.794),(33.421),(33.953),(217.626),-1458.0,-148794.0,-33421.0,-33953.0,-217626.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,(476),(3.228),(39),(15),(3.758),-476.0,-3228.0,-39.0,-15.0,-3758.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.504.861,4.794.216,1.079.892,1.898.754,10.277.723,2504861.0,4794216.0,1079892.0,1898754.0,10277723.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm(trình bày lại),Giá trị còn lại > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),3.889.050,437.661,609.213,276.880,5.212.804,3889050.0,437661.0,609213.0,276880.0,5212804.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.764.571,840.933,628.670,296.405,5.530.579,3764571.0,840933.0,628670.0,296405.0,5530579.0
