row_label_raw,row_label_full,col_0,2024Triệu VND,2023Triệu VND(trình bày lại),numeric__2024Triệu VND,numeric__2023Triệu VND(trình bày lại)
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",432.233,453.376,432233.0,453376.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,12.262.748,11.718.438,12262748.0,11718438.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Chi lương và phụ cấp (Thuyết minh 36),Trong đó: > - Chi lương và phụ cấp (Thuyết minh 36),- Chi lương và phụ cấp (Thuyết minh 36),11.038.411,10.553.274,11038411.0,10553274.0
- Các khoản chi đóng góp theo lương,Trong đó: > - Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,874.515,830.173,874515.0,830173.0
- Chi trợ cấp,Trong đó: > - Chi trợ cấp,- Chi trợ cấp,5.319,5.286,5319.0,5286.0
Chi về tài sản,Trong đó: > Chi về tài sản,Chi về tài sản,3.402.747,3.456.785,3402747.0,3456785.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Khấu hao tài sản cố định,Trong đó: > - Khấu hao tài sản cố định,- Khấu hao tài sản cố định,1.086.426,1.270.726,1086426.0,1270726.0
Chi cho hoạt động quản lý công vụ,Trong đó: > Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,5.891.735,5.271.835,5891735.0,5271835.0
"Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng(Hoàn nhập)/trích lập chi phí dự phòng giảm giá đầu tư dài hạn (Thuyết minh 12(d))","Trong đó: > Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng(Hoàn nhập)/trích lập chi phí dự phòng giảm giá đầu tư dài hạn (Thuyết minh 12(d))","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng(Hoàn nhập)/trích lập chi phí dự phòng giảm giá đầu tư dài hạn (Thuyết minh 12(d))",993.995,880.742,993995.0,880742.0
"Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng(Hoàn nhập)/trích lập chi phí dự phòng giảm giá đầu tư dài hạn (Thuyết minh 12(d))","Trong đó: > Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng(Hoàn nhập)/trích lập chi phí dự phòng giảm giá đầu tư dài hạn (Thuyết minh 12(d))","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng(Hoàn nhập)/trích lập chi phí dự phòng giảm giá đầu tư dài hạn (Thuyết minh 12(d))",(67.425),24.426,-67425.0,24426.0
Chi phí hoạt động khác,Trong đó: > Chi phí hoạt động khác,Chi phí hoạt động khác,111.330,100.310,111330.0,100310.0
,,,23.027.363,21.905.912,23027363.0,21905912.0
