row_label_raw,row_label_full,Thuế phải trả (Thuyết minh 37),31/12/2024Triệu VND > 4.619.307,31/12/2023Triệu VND(trình bày lại) > 4.923.591,numeric__31/12/2024Triệu VND > 4.619.307,numeric__31/12/2023Triệu VND(trình bày lại) > 4.923.591
- Thuế thu nhập doanh nghiệp phải trả,- Thuế thu nhập doanh nghiệp phải trả,- Thuế thu nhập doanh nghiệp phải trả,4.358.313,4.694.499,4358313.0,4694499.0
- Thuế giá trị gia tăng phải trả,- Thuế giá trị gia tăng phải trả,- Thuế giá trị gia tăng phải trả,68.761,59.501,68761.0,59501.0
- Các thuế khác phải trả,- Các thuế khác phải trả,- Các thuế khác phải trả,192.233,169.591,192233.0,169591.0
Doanh thu nhận trước chờ phân bổ,Doanh thu nhận trước chờ phân bổ,Doanh thu nhận trước chờ phân bổ,256,1.684.887,256.0,1684887.0
Phải trả xây dựng và mua sắm tài sản cố định,Phải trả xây dựng và mua sắm tài sản cố định,Phải trả xây dựng và mua sắm tài sản cố định,720.305,824.549,720305.0,824549.0
Tiền giữ hộ chờ thanh toán,Tiền giữ hộ chờ thanh toán,Tiền giữ hộ chờ thanh toán,290.612,453.671,290612.0,453671.0
Các khoản khác phải trả khách hàng,Các khoản khác phải trả khách hàng,Các khoản khác phải trả khách hàng,3.347.207,3.130.640,3347207.0,3130640.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,1.921.496,236.224,1921496.0,236224.0
Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,64.528,64.528,64528.0,64528.0
Vay Bộ Tài chính,Vay Bộ Tài chính,Vay Bộ Tài chính,517.419,613.574,517419.0,613574.0
Phải trả khác,Phải trả khác,Phải trả khác,2.136.960,2.534.217,2136960.0,2534217.0
,,,13.618.090,14.465.881,13618090.0,14465881.0
