row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2024:,Năm kết thúc ngày 31 tháng 12 năm 2024:_1,Miền Bắc (*) > Triệu VND,Miền Trung và Tây Nguyên > Triệu VND,Miền Nam > Triệu VND,Nước ngoài > Triệu VND,Loại trừ > Triệu VND,Tổng cộng > Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024:_1,numeric__Miền Bắc (*) > Triệu VND,numeric__Miền Trung và Tây Nguyên > Triệu VND,numeric__Miền Nam > Triệu VND,numeric__Nước ngoài > Triệu VND,numeric__Loại trừ > Triệu VND,numeric__Tổng cộng > Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,119.122.604,20.325.145,60.806.270,178.646,(106.777.824),93.654.841,,119122604.0,20325145.0,60806270.0,178646.0,-106777824.0,93654841.0
2,2,2,Chi phí lãi và các chi phí tương tự,(96.447.992),(12.052.242),(36.456.351),(80.502),106.787.981,(38.249.106),,-96447992.0,-12052242.0,-36456351.0,-80502.0,106787981.0,-38249106.0
I,I,I,Thu nhập lãi thuần,22.674.612,8.272.903,24.349.919,98.144,10.157,55.405.735,,22674612.0,8272903.0,24349919.0,98144.0,10157.0,55405735.0
3,3,3,Thu nhập từ hoạt động dịch vụ,8.648.544,846.775,3.706.685,116.300,(175.299),13.143.005,,8648544.0,846775.0,3706685.0,116300.0,-175299.0,13143005.0
4,4,4,Chi phí hoạt động dịch vụ,(7.813.586),(49.265),(140.210),(31.168),27.785,(8.006.444),,-7813586.0,-49265.0,-140210.0,-31168.0,27785.0,-8006444.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,834.958,797.510,3.566.475,85.132,(147.514),5.136.561,,834958.0,797510.0,3566475.0,85132.0,-147514.0,5136561.0
III,III,III,Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối,3.451.806,227.305,1.610.387,(224),2.477,5.291.751,,3451806.0,227305.0,1610387.0,-224.0,2477.0,5291751.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,72.280,-,-,-,(10.157),62.123,,72280.0,,,,-10157.0,62123.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,3.444,-,-,-,-,3.444,,3444.0,,,,,3444.0
5,5,5,Thu nhập từ hoạt động khác,1.655.845,677.506,2.129.594,5.861,-,4.468.806,,1655845.0,677506.0,2129594.0,5861.0,,4468806.0
6,6,6,Chi phí hoạt động khác,(1.265.237),(110.571),(721.295),-,-,(2.097.103),,-1265237.0,-110571.0,-721295.0,,,-2097103.0
VI,VI,VI,Lãi thuần từ hoạt động khác,390.608,566.935,1.408.299,5.861,-,2.371.703,,390608.0,566935.0,1408299.0,5861.0,,2371703.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",307.179,-,-,-,-,307.179,,307179.0,,,,,307179.0
,,,Tổng thu nhập hoạt động,27.734.887,9.864.653,30.935.080,188.913,(145.037),68.578.496,,27734887.0,9864653.0,30935080.0,188913.0,-145037.0,68578496.0
VIII,VIII,VIII,Chi phí hoạt động,(13.691.263),(2.428.672),(6.942.314),(112.626),147.512,(23.027.363),,-13691263.0,-2428672.0,-6942314.0,-112626.0,147512.0,-23027363.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,14.043.624,7.435.981,23.992.766,76.287,2.475,45.551.133,,14043624.0,7435981.0,23992766.0,76287.0,2475.0,45551133.0
X,X,X,Hoàn nhập/(trích lập) chi phí dự phòng rủi ro tín dụng,2.963.169,(1.889.224),(4.373.842),(15.101),-,(3.314.998),,2963169.0,-1889224.0,-4373842.0,-15101.0,,-3314998.0
XI,XI,XI,Tổng lợi nhuận trước thuế,17.006.793,5.546.757,19.618.924,61.186,2.475,42.236.135,,17006793.0,5546757.0,19618924.0,61186.0,2475.0,42236135.0
7,7,7,Chi phí thuế TNDN hiện hành,(3.484.688),(1.109.351),(3.924.217),(8.240),-,(8.526.496),,-3484688.0,-1109351.0,-3924217.0,-8240.0,,-8526496.0
8,8,8,Thu nhập thuế TNDN hoãn lại,143.478,-,-,-,-,143.478,,143478.0,,,,,143478.0
XII,XII,XII,Chi phí thuế TNDN,(3.341.210),(1.109.351),(3.924.217),(8.240),-,(8.383.018),,-3341210.0,-1109351.0,-3924217.0,-8240.0,,-8383018.0
XIII,XIII,XIII,Lợi nhuận sau thuế,13.665.583,4.437.406,15.694.707,52.946,2.475,33.853.117,,13665583.0,4437406.0,15694707.0,52946.0,2475.0,33853117.0
