row_label_raw,row_label_full,31/12/2019,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,345.077.482.828,-,345.077.482.828,345077482828.0,,345077482828.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,111.992.519.467,-,111.992.519.467,111992519467.0,,111992519467.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.089.346.852.035,380.674.204.775,1.470.021.056.810,1089346852035.0,380674204775.0,1470021056810.0
Phải trả khác,Phải trả khác,Phải trả khác,287.683.143.597,90.000.000,287.773.143.597,287683143597.0,90000000.0,287773143597.0
Cộng,Cộng,Cộng,1.834.099.997.927,380.764.204.775,2.214.864.202.702,1834099997927.0,380764204775.0,2214864202702.0
01/01/2019,01/01/2019,01/01/2019,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2019 > Phải trả người bán,Phải trả người bán,219.428.683.968,-,219.428.683.968,219428683968.0,,219428683968.0
Chi phí phải trả,01/01/2019 > Chi phí phải trả,Chi phí phải trả,90.681.771.183,-,90.681.771.183,90681771183.0,,90681771183.0
Vay và nợ thuê tài chính,01/01/2019 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.017.954.776.781,516.603.421.404,1.534.558.198.185,1017954776781.0,516603421404.0,1534558198185.0
Phải trả khác,01/01/2019 > Phải trả khác,Phải trả khác,153.527.349.015,4.090.000.000,157.617.349.015,153527349015.0,4090000000.0,157617349015.0
Cộng,01/01/2019 > Cộng,Cộng,1.481.592.580.947,520.693.421.404,2.002.286.002.351,1481592580947.0,520693421404.0,2002286002351.0
