row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,12.474.272.115,317.684.000,12.791.956.115,12474272115.0,317684000.0,12791956115.0
Tăng trong kỳ,Tăng trong kỳ,Tăng trong kỳ,-,-,-,,,
"Thanh lý, nhượng bán","Tăng trong kỳ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",12.474.272.115,-,12.474.272.115,12474272115.0,,12474272115.0
Số cuối kỳ,Tăng trong kỳ > Số cuối kỳ,Số cuối kỳ,-,317.684.000,317.684.000,,317684000.0,317684000.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,
Số đầu kỳ,Khấu hao > Số đầu kỳ,Số đầu kỳ,-,286.682.205,286.682.205,,286682205.0,286682205.0
Khấu hao trong kỳ,Khấu hao > Khấu hao trong kỳ,Khấu hao trong kỳ,-,8.763.432,8.763.432,,8763432.0,8763432.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,,,
Số cuối kỳ,"Thanh lý, nhượng bán > Số cuối kỳ",Số cuối kỳ,-,295.445.637,295.445.637,,295445637.0,295445637.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,12.474.272.115,31.001.795,12.505.273.910,12474272115.0,31001795.0,12505273910.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,-,22.238.363,22.238.363,,22238363.0,22238363.0
