row_label_raw,row_label_full,31/12/2019,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,13.534.697.168,-,13.534.697.168,13534697168.0,,13534697168.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,245.807.632.154,-,245.807.632.154,245807632154.0,,245807632154.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,374.607.707.154,-,374.607.707.154,374607707154.0,,374607707154.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,1.016.829.982.714,989.928.903.782,2.006.758.886.496,1016829982714.0,989928903782.0,2006758886496.0
Phải thu khác,Phải thu khác,Phải thu khác,158.746.056.138,1.268.670.000,160.014.726.138,158746056138.0,1268670000.0,160014726138.0
Cộng,Cộng,Cộng,1.809.526.075.328,991.197.573.782,2.800.723.649.110,1809526075328.0,991197573782.0,2800723649110.0
01/01/2019,01/01/2019,01/01/2019,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2019 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,7.942.407.602,-,7.942.407.602,7942407602.0,,7942407602.0
Chứng khoán kinh doanh,01/01/2019 > Chứng khoán kinh doanh,Chứng khoán kinh doanh,264.000.000.000,-,264.000.000.000,264000000000.0,,264000000000.0
Phải thu khách hàng,01/01/2019 > Phải thu khách hàng,Phải thu khách hàng,411.550.837.590,-,411.550.837.590,411550837590.0,,411550837590.0
Phải thu về cho vay,01/01/2019 > Phải thu về cho vay,Phải thu về cho vay,1.145.796.786.995,190.403.970.320,1.336.200.757.315,1145796786995.0,190403970320.0,1336200757315.0
Phải thu khác,01/01/2019 > Phải thu khác,Phải thu khác,142.414.493.332,2.155.443.664,144.569.936.996,142414493332.0,2155443664.0,144569936996.0
Đầu tư góp vốn vào đơn vị khác,01/01/2019 > Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,1.020.000.000,1.020.000.000,,1020000000.0,1020000000.0
Cộng,01/01/2019 > Cộng,Cộng,1.971.704.525.519,193.579.413.984,2.165.283.939.503,1971704525519.0,193579413984.0,2165283939503.0
