row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*),"Nhà cửa, vật kiến trúc",Cộng,numeric__Quyền sử dụng đất (*),"numeric__Nhà cửa, vật kiến trúc",numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,75.783.417.973,145.360.574.671,221.143.992.644,75783417973.0,145360574671.0,221143992644.0
Tăng trong kỳ,Nguyên giá > Tăng trong kỳ,Tăng trong kỳ,12.578.537.135,-,12.578.537.135,12578537135.0,,12578537135.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,,,
Số cuối kỳ,"Thanh lý, nhượng bán > Số cuối kỳ",Số cuối kỳ,88.361.955.108,145.360.574.671,233.722.529.779,88361955108.0,145360574671.0,233722529779.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Số đầu kỳ,Khấu hao lũy kế > Số đầu kỳ,Số đầu kỳ,-,34.101.078.448,34.101.078.448,,34101078448.0,34101078448.0
Khấu hao trong kỳ,Khấu hao lũy kế > Khấu hao trong kỳ,Khấu hao trong kỳ,162.455.035,5.148.085.681,5.310.540.716,162455035.0,5148085681.0,5310540716.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,,,
Số cuối kỳ,"Thanh lý, nhượng bán > Số cuối kỳ",Số cuối kỳ,162.455.035,39.249.164.129,39.411.619.164,162455035.0,39249164129.0,39411619164.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,75.783.417.973,111.259.496.223,187.042.914.196,75783417973.0,111259496223.0,187042914196.0
Số đánh giá lại cuối kỳ,Giá trị còn lại > Số đánh giá lại cuối kỳ,Số đánh giá lại cuối kỳ,88.199.500.073,106.111.410.542,194.310.910.615,88199500073.0,106111410542.0,194310910615.0
