row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2019 VND,01/01/2019 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__01/01/2019 VND
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,2.223.884.634.427,2.545.122.036.076,100.0,,2223884634427.0,2545122036076.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,,13.534.697.168,7.942.407.602,110.0,,13534697168.0,7942407602.0
1. Tiền,1. Tiền,1. Tiền,111,5,13.534.697.168,7.942.407.602,111.0,5.0,13534697168.0,7942407602.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,-,-,112.0,,,
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,245.807.632.154,264.000.000.000,120.0,,245807632154.0,264000000000.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,6a,264.000.000.000,264.000.000.000,121.0,,264000000000.0,264000000000.0
2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,122,,(18.192.367.846),-,122.0,,-18192367846.0,
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,1.748.204.472.673,1.995.529.114.349,130.0,,1748204472673.0,1995529114349.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,386.148.763.022,418.289.199.705,131.0,7.0,386148763022.0,418289199705.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,8,214.103.925.897,295.981.238.379,132.0,8.0,214103925897.0,295981238379.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,9a,1.051.377.741.994,1.152.671.372.786,135.0,,1051377741994.0,1152671372786.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,10a,186.441.101.604,153.533.605.248,136.0,,186441101604.0,153533605248.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,11,(89.867.059.844),(24.946.301.769),137.0,11.0,-89867059844.0,-24946301769.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,12,216.337.832.432,277.647.364.126,140.0,12.0,216337832432.0,277647364126.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,217.088.197.279,277.647.364.126,141.0,,217088197279.0,277647364126.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(750.364.847),-,149.0,,-750364847.0,
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,-,3.149.999,150.0,,,3149999.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,,-,3.149.999,151.0,,,3149999.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,-,-,152.0,,,
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,3.131.646.048.661,2.686.431.232.676,200.0,,3131646048661.0,2686431232676.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,991.197.573.782,192.559.413.984,210.0,,991197573782.0,192559413984.0
1. Phải thu về cho vay dài hạn,1. Phải thu về cho vay dài hạn,1. Phải thu về cho vay dài hạn,215,9b,989.928.903.782,190.403.970.320,215.0,,989928903782.0,190403970320.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,10b,1.268.670.000,2.155.443.664,216.0,,1268670000.0,2155443664.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,437.672.799.781,429.494.631.248,220.0,,437672799781.0,429494631248.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,13,437.650.561.418,416.989.357.338,221.0,13.0,437650561418.0,416989357338.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,498.079.753.551,461.826.105.939,222.0,,498079753551.0,461826105939.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(60.429.192.133),(44.836.748.601),223.0,,-60429192133.0,-44836748601.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,14,22.238.363,12.505.273.910,227.0,14.0,22238363.0,12505273910.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,317.684.000,12.791.956.115,228.0,,317684000.0,12791956115.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(295.445.637),(286.682.205),229.0,,-295445637.0,-286682205.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,15,194.310.910.615,187.042.914.196,230.0,15.0,194310910615.0,187042914196.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,233.722.529.779,221.143.992.644,231.0,,233722529779.0,221143992644.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,232,,(39.411.619.164),(34.101.078.448),232.0,,-39411619164.0,-34101078448.0
