row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,P.tiện vận tảitruyền dẫn,"Thiết bị, dụngcụ quản lý",Vườn câylâu năm,Tài sản cố địnhkhác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__P.tiện vận tảitruyền dẫn,"numeric__Thiết bị, dụngcụ quản lý",numeric__Vườn câylâu năm,numeric__Tài sản cố địnhkhác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,257.541.048.198,11.172.554.390,14.595.666.484,688.949.109,175.885.082.455,1.942.805.303,461.826.105.939,257541048198.0,11172554390.0,14595666484.0,688949109.0,175885082455.0,1942805303.0,461826105939.0
Mua sắm trong kỳ,Nguyên giá > Mua sắm trong kỳ,Mua sắm trong kỳ,110.401.818,-,-,-,-,-,110.401.818,110401818.0,,,,,,110401818.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,42.423.389.416,3.200.000.000,-,-,-,-,45.623.389.416,42423389416.0,3200000000.0,,,,,45623389416.0
"T/lý, nhượng bán","Nguyên giá > T/lý, nhượng bán","T/lý, nhượng bán",9.480.143.622,-,-,-,-,-,9.480.143.622,9480143622.0,,,,,,9480143622.0
Số cuối kỳ,Nguyên giá > Số cuối kỳ,Số cuối kỳ,290.594.695.810,14.372.554.390,14.595.666.484,688.949.109,175.885.082.455,1.942.805.303,498.079.753.551,290594695810.0,14372554390.0,14595666484.0,688949109.0,175885082455.0,1942805303.0,498079753551.0
Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,,,,,,,
Số đầu kỳ,Khẩu hao > Số đầu kỳ,Số đầu kỳ,23.037.693.282,8.138.169.187,12.537.205.791,463.110.212,268.713.320,391.856.809,44.836.748.601,23037693282.0,8138169187.0,12537205791.0,463110212.0,268713320.0,391856809.0,44836748601.0
Khẩu hao trong kỳ,Khẩu hao > Khẩu hao trong kỳ,Khẩu hao trong kỳ,7.858.649.931,459.485.472,474.313.640,86.696.964,8.795.003.952,195.928.404,17.870.078.363,7858649931.0,459485472.0,474313640.0,86696964.0,8795003952.0,195928404.0,17870078363.0
"T/lý, nhượng bán","Khẩu hao > T/lý, nhượng bán","T/lý, nhượng bán",2.277.634.831,-,-,-,-,-,2.277.634.831,2277634831.0,,,,,,2277634831.0
Số cuối kỳ,Khẩu hao > Số cuối kỳ,Số cuối kỳ,28.618.708.382,8.597.654.659,13.011.519.431,549.807.176,9.063.717.272,587.785.213,60.429.192.133,28618708382.0,8597654659.0,13011519431.0,549807176.0,9063717272.0,587785213.0,60429192133.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,234.503.354.916,3.034.385.203,2.058.460.693,225.838.897,175.616.369.135,1.550.948.494,416.989.357.338,234503354916.0,3034385203.0,2058460693.0,225838897.0,175616369135.0,1550948494.0,416989357338.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,261.975.987.428,5.774.899.731,1.584.147.053,139.141.933,166.821.365.183,1.355.020.090,437.650.561.418,261975987428.0,5774899731.0,1584147053.0,139141933.0,166821365183.0,1355020090.0,437650561418.0
