row_label_raw,row_label_full,Công ty CP Bến xe Liên tỉnh Phía Nam Thành phố Đà Nẵng Công ty con,Môi quan hệ > Công ty CP Bến xe Liên tỉnh Phía Nam Thành phố Đà Nẵng Công ty con,31/12/2019 > 626.250.000,01/01/2019 > 516.250.000,numeric__Môi quan hệ > Công ty CP Bến xe Liên tỉnh Phía Nam Thành phố Đà Nẵng Công ty con,numeric__31/12/2019 > 626.250.000,numeric__01/01/2019 > 516.250.000
Công ty CP Dịch vụ công cộng Đức Long Bảo Lộc,Công ty CP Dịch vụ công cộng Đức Long Bảo Lộc,Công ty CP Dịch vụ công cộng Đức Long Bảo Lộc,Công ty nhận đầu tư,13.611.577.690,12.981.158.278,,13611577690.0,12981158278.0
Công ty CP Đầu tư Phát triển Dịch vụ CTCC ĐLGL,Công ty CP Đầu tư Phát triển Dịch vụ CTCC ĐLGL,Công ty CP Đầu tư Phát triển Dịch vụ CTCC ĐLGL,Chung cổ đông lớn,254.800.000,-,,254800000.0,
Công ty CP Đầu tư Xây dựng Đức Long Gia Lai,Công ty CP Đầu tư Xây dựng Đức Long Gia Lai,Công ty CP Đầu tư Xây dựng Đức Long Gia Lai,Chung thành viên lãnh đạo,477.820.250,477.820.250,,477820250.0,477820250.0
Cộng,Cộng,Cộng,Cộng,14.970.447.940,13.975.228.528,,14970447940.0,13975228528.0
