row_label_raw,row_label_full,Mục đích sử dụng vốn,Phương án sử dụng vốn (sau điều chỉnh),Vốn đã sử dụng đến 31/12/2019,Vốn chưa sử dụng (*),numeric__Phương án sử dụng vốn (sau điều chỉnh),numeric__Vốn đã sử dụng đến 31/12/2019,numeric__Vốn chưa sử dụng (*)
"Dự án chăn nuôi, phát triển bò sữa và bò thịt","Dự án chăn nuôi, phát triển bò sữa và bò thịt","Dự án chăn nuôi, phát triển bò sữa và bò thịt",177.716.686.733,117.821.056.733,59.895.630.000,177716686733.0,117821056733.0,59895630000.0
Dự án thủy điện và năng lượng,Dự án thủy điện và năng lượng,Dự án thủy điện và năng lượng,150.000.000.000,150.000.000.000,-,150000000000.0,150000000000.0,
Bổ sung vốn lưu động trong kinh doanh,Bổ sung vốn lưu động trong kinh doanh,Bổ sung vốn lưu động trong kinh doanh,172.283.313.267,172.283.313.267,-,172283313267.0,172283313267.0,
Cộng,Cộng,Cộng,500.000.000.000,440.104.370.000,59.895.630.000,500000000000.0,440104370000.0,59895630000.0
