row_label_raw,row_label_full,col_0,"Nhà xưởng,vật kiến trúcVND","Máy móc,thiết bịVND",Phường tiệnvăn tàiVND,Thiết bịvăn phòngVND,TổngVND,"numeric__Nhà xưởng,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phường tiệnvăn tàiVND,numeric__Thiết bịvăn phòngVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,125.446.320.504,151.450.302.518,15.092.329.787,31.743.126.096,323.732.078.905,125446320504.0,151450302518.0,15092329787.0,31743126096.0,323732078905.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,12.912.317.453,31.867.860.577,4.908.304.300,4.241.055.571,53.929.537.901,12912317453.0,31867860577.0,4908304300.0,4241055571.0,53929537901.0
Thanh lý,NGUYÊN GIÁ > Thanh lý,Thanh lý,(9.423.420.273),(140.576.078),(1.410.345.571),(43.267.852),(11.017.609.774),-9423420273.0,-140576078.0,-1410345571.0,-43267852.0,-11017609774.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,128.935.217.684,183.177.587.017,18.590.288.516,35.940.913.815,366.644.007.032,128935217684.0,183177587017.0,18590288516.0,35940913815.0,366644007032.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,21.605.061.491,84.525.441.520,6.853.815.198,18.165.837.029,131.150.155.238,21605061491.0,84525441520.0,6853815198.0,18165837029.0,131150155238.0
Khửu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khửu hao trong năm,Khửu hao trong năm,5.186.573.321,19.272.728.127,1.334.958.429,6.766.535.662,32.560.795.539,5186573321.0,19272728127.0,1334958429.0,6766535662.0,32560795539.0
Thanh lý,GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý,Thanh lý,(843.208.952),(140.576.078),(1.348.799.209),(39.367.852),(2.371.952.091),-843208952.0,-140576078.0,-1348799209.0,-39367852.0,-2371952091.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,25.948.425.860,103.657.593.569,6.839.974.418,24.893.004.839,161.338.998.686,25948425860.0,103657593569.0,6839974418.0,24893004839.0,161338998686.0
GIÀ TRỊ CÔN LAI,GIÀ TRỊ CÔN LAI,GIÀ TRỊ CÔN LAI,GIÀ TRỊ CÔN LAI,GIÀ TRỊ CÔN LAI,GIÀ TRỊ CÔN LAI,GIÀ TRỊ CÔN LAI,GIÀ TRỊ CÔN LAI,,,,,
Tại ngày cuối năm,GIÀ TRỊ CÔN LAI > Tại ngày cuối năm,Tại ngày cuối năm,102.986.791.824,79.519.993.448,11.750.314.098,11.047.908.976,205.305.008.346,102986791824.0,79519993448.0,11750314098.0,11047908976.0,205305008346.0
Tại ngày đầu năm,GIÀ TRỊ CÔN LAI > Tại ngày đầu năm,Tại ngày đầu năm,103.841.259.013,66.924.860.998,8.238.514.589,13.577.289.067,192.581.923.667,103841259013.0,66924860998.0,8238514589.0,13577289067.0,192581923667.0
