row_label_raw,row_label_full,Công ty TNHH ToTal Gaz Vietnam,Số cuối nămVND > -,Số đầu nămVND > 362.078.769,numeric__Số cuối nămVND > -,numeric__Số đầu nămVND > 362.078.769
FH Trautz Gmbh,FH Trautz Gmbh,FH Trautz Gmbh,8.044.011.168,6.531.852.825,8044011168.0,6531852825.0
Công ty DC&D,Công ty DC&D,Công ty DC&D,3.448.548.729,-,3448548729.0,
Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,23.030.669.089,22.723.713.188,23030669089.0,22723713188.0
,,,34.523.228.986,29.617.644.782,34523228986.0,29617644782.0
