row_label_raw,row_label_full,col_0,Số đầu năm(Trình bày lại)VND,Số phải thu/nộptrong nămVND,Số đã thu/nộptrong nămVND,Số cuối nămVND,numeric__Số đầu năm(Trình bày lại)VND,numeric__Số phải thu/nộptrong nămVND,numeric__Số đã thu/nộptrong nămVND,numeric__Số cuối nămVND
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế giá trị gia tăng,a. Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,883.496.374,(43.660.388.319),43.404.224.162,627.332.217,883496374.0,-43660388319.0,43404224162.0,627332217.0
Thuế xuất nhập khẩu,a. Các khoản phải thu > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,187.884.767,(6.711.505.348),6.533.463.694,9.843.113,187884767.0,-6711505348.0,6533463694.0,9843113.0
Thuế khác,a. Các khoản phải thu > Thuế khác,Thuế khác,31.623.750,(31.623.750),-,-,31623750.0,-31623750.0,,
,,,1.103.004.891,(50.403.517.417),49.937.687.856,637.175.330,1103004891.0,-50403517417.0,49937687856.0,637175330.0
b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,,,,
Thuế giá trị gia tăng trực tiếp,b. Các khoản phải nộp > Thuế giá trị gia tăng trực tiếp,Thuế giá trị gia tăng trực tiếp,22.276.734.146,150.061.669.322,(154.643.303.091),17.695.100.377,22276734146.0,150061669322.0,-154643303091.0,17695100377.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,76.369.142.299,137.614.509.165,(156.141.028.844),57.842.622.620,76369142299.0,137614509165.0,-156141028844.0,57842622620.0
Thuế thu nhập cá nhân,b. Các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,820.540.133,10.147.031.012,(8.073.509.986),2.894.061.159,820540133.0,10147031012.0,-8073509986.0,2894061159.0
Thuế khác,b. Các khoản phải nộp > Thuế khác,Thuế khác,8.001.623.854,14.480.171.990,(14.591.202.402),7.890.593.442,8001623854.0,14480171990.0,-14591202402.0,7890593442.0
,,,107.468.040.432,312.303.381.489,(333.449.044.323),86.322.377.598,107468040432.0,312303381489.0,-333449044323.0,86322377598.0
