row_label_raw,row_label_full,Bà Cao Thị Ngọc Dung,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Lê Hữu Hạnh,Ông Lê Hữu Hạnh,Ông Lê Hữu Hạnh,Phó Tổng Giám đốc,
Bà Nguyễn Thị Cúc,Bà Nguyễn Thị Cúc,Bà Nguyễn Thị Cúc,Phó Tổng Giám đốc,
Ông Nguyễn Vũ Phan,Ông Nguyễn Vũ Phan,Ông Nguyễn Vũ Phan,Phó Tổng Giám đốc (miễn nhiệm ngày 01 tháng 7 năm 2016),
Bà Phạm Thị Mỹ Hạnh,Bà Phạm Thị Mỹ Hạnh,Bà Phạm Thị Mỹ Hạnh,Phó Tổng Giám đốc,
