row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Đơn vị: VNDNăm trước(Trình bày lại),numeric__Mã số,numeric__Năm nay,numeric__Đơn vị: VNDNăm trước(Trình bày lại)
Tăng hàng tồn kho,2. Điều chỉnh cho các khoản: > Tăng hàng tồn kho,Tăng hàng tồn kho,10,(700.103.858.869),(461.046.410.901),10.0,-700103858869.0,-461046410901.0
Tăng các khoản phải trả,2. Điều chỉnh cho các khoản: > Tăng các khoản phải trả,Tăng các khoản phải trả,11,168.738.775.937,50.458.026.313,11.0,168738775937.0,50458026313.0
Tăng chi phí trả trước,2. Điều chỉnh cho các khoản: > Tăng chi phí trả trước,Tăng chi phí trả trước,12,(494.481.327),(31.655.610.135),12.0,-494481327.0,-31655610135.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(73.921.216.904),(80.553.486.249),14.0,-73921216904.0,-80553486249.0
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(156.141.028.844),(65.383.335.384),15.0,-156141028844.0,-65383335384.0
Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,6.949.780.008,,16.0,6949780008.0,
Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(15.624.506.660),17.0,,-15624506660.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(33.681.106.629),65.711.729.610,20.0,-33681106629.0,65711729610.0
II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
1. Tiền chi để mua sắm tài sản cố định,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chi để mua sắm tài sản cố định,1. Tiền chi để mua sắm tài sản cố định,21,(85.508.117.129),(69.216.587.907),21.0,-85508117129.0,-69216587907.0
"2. Tiền thu từ thanh lý, nhượng bán tài sản cố định","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu từ thanh lý, nhượng bán tài sản cố định","2. Tiền thu từ thanh lý, nhượng bán tài sản cố định",22,164.944.000.000,301.946.364,22.0,164944000000.0,301946364.0
"3. Tiền thu hồi tiền gửi tiết kiệm, bán lại các côngcụ nợ của đơn vị khác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền thu hồi tiền gửi tiết kiệm, bán lại các côngcụ nợ của đơn vị khác","3. Tiền thu hồi tiền gửi tiết kiệm, bán lại các côngcụ nợ của đơn vị khác",24,,26.152.150.000,24.0,,26152150000.0
4. Tiền thu hồi đầu tư vốn vào đơn vị khác,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu hồi đầu tư vốn vào đơn vị khác,4. Tiền thu hồi đầu tư vốn vào đơn vị khác,26,64.306.410.000,,26.0,64306410000.0,
"5. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia","5. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia",27,3.951.477.458,104.905.713,27.0,3951477458.0,104905713.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,147.693.770.329,(42.657.585.830),30.0,147693770329.0,-42657585830.0
III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
1. Tiền thu từ đi vay,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ đi vay,1. Tiền thu từ đi vay,33,3.274.307.477.438,4.751.829.672.583,33.0,3274307477438.0,4751829672583.0
2. Tiền trả nợ gốc vay,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền trả nợ gốc vay,2. Tiền trả nợ gốc vay,34,(3.026.883.783.136),(4.752.996.341.728),34.0,-3026883783136.0,-4752996341728.0
"3. Cổ tức, lợi nhuận đã trả cho cổ đông","III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Cổ tức, lợi nhuận đã trả cho cổ đông","3. Cổ tức, lợi nhuận đã trả cho cổ đông",36,(245.684.532.866),(22.678.897.800),36.0,-245684532866.0,-22678897800.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,1.739.161.436,(23.845.566.945),40.0,1739161436.0,-23845566945.0
Lưu chuyển tiền thuần trong năm (50=20+30+40),III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),50,115.751.825.136,(791.423.165),50.0,115751825136.0,-791423165.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,34.348.296.246,35.139.719.411,60.0,34348296246.0,35139719411.0
Ảnh hưởng của thay đổi tỷ giá hồi doái quy đổi ngoại tệ,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hồi doái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hồi doái quy đổi ngoại tệ,61,175.805.143,,61.0,175805143.0,
Tiền và tương đương tiền cuối năm (70=50+60+61),III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm (70=50+60+61),Tiền và tương đương tiền cuối năm (70=50+60+61),70,150.275.926.525,34.348.296.246,70.0,150275926525.0,34348296246.0
