row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm (Trình bày lại)
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,2.092.223.670.982,1.664.234.808.960,300.0,,2092223670982.0,1664234808960.0
I. Ng ngắn hạn,I. Ng ngắn hạn,I. Ng ngắn hạn,310,,2.026.224.469.738,1.582.002.581.591,310.0,,2026224469738.0,1582002581591.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,21,325.581.536.057,191.490.239.870,311.0,21.0,325581536057.0,191490239870.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,,55.810.213.794,20.602.104.470,312.0,,55810213794.0,20602104470.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,15,86.322.377.598,107.468.040.432,313.0,15.0,86322377598.0,107468040432.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,26.829.393.326,16.702.705.380,314.0,,26829393326.0,16702705380.0
5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,315,,6.354.714.739,4.909.222.768,315.0,,6354714739.0,4909222768.0
6. Phải trả ngắn hạn khác,6. Phải trả ngắn hạn khác,6. Phải trả ngắn hạn khác,319,22,27.167.081.033,28.340.702.014,319.0,22.0,27167081033.0,28340702014.0
7. Vay ngắn hạn,7. Vay ngắn hạn,7. Vay ngắn hạn,320,23,1.457.954.945.047,1.195.260.458.896,320.0,23.0,1457954945047.0,1195260458896.0
"8. Quỹ khen thưởng, phúc lợi","8. Quỹ khen thưởng, phúc lợi","8. Quỹ khen thưởng, phúc lợi",322,,40.204.208.144,17.229.107.761,322.0,,40204208144.0,17229107761.0
II. Ng dài hạn,II. Ng dài hạn,II. Ng dài hạn,330,,65.999.201.244,82.232.227.369,330.0,,65999201244.0,82232227369.0
1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,337,22,628.026.000,3.403.668.000,337.0,22.0,628026000.0,3403668000.0
2. Vay dài hạn,2. Vay dài hạn,2. Vay dài hạn,338,24,58.994.000.000,72.388.000.000,338.0,24.0,58994000000.0,72388000000.0
3. Dự phòng phải trả dài hạn,3. Dự phòng phải trả dài hạn,3. Dự phòng phải trả dài hạn,342,26,6.377.175.244,6.440.559.369,342.0,26.0,6377175244.0,6440559369.0
D. VỐN CHỦ SỐ HỮU,D. VỐN CHỦ SỐ HỮU,D. VỐN CHỦ SỐ HỮU,400,,1.498.831.363.922,1.293.967.038.919,400.0,,1498831363922.0,1293967038919.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,25,1.498.831.363.922,1.293.967.038.919,410.0,25.0,1498831363922.0,1293967038919.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,982.745.770.000,982.745.770.000,411.0,,982745770000.0,982745770000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,982.745.770.000,982.745.770.000,,,982745770000.0,982745770000.0
2. Cổ phiếu quỹ,2. Cổ phiếu quỹ,2. Cổ phiếu quỹ,415,,(7.090.000),(7.090.000),415.0,,-7090000.0,-7090000.0
3. Quỹ đầu tư phát triển,3. Quỹ đầu tư phát triển,3. Quỹ đầu tư phát triển,418,,144.087.556.918,219.647.610.783,418.0,,144087556918.0,219647610783.0
4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,421,,372.005.127.004,91.580.748.136,421.0,,372005127004.0,91580748136.0
- Lợi nhuận sau thuế chưa phân phối lũy kể đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kể đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kể đến cuối năm trước,421a,,-,8.719.182.874,,,,8719182874.0
- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,372.005.127.004,82.861.565.262,,,372005127004.0,82861565262.0
TỔNG CỘNG NGUỐN VỐN (440=300+400),TỔNG CỘNG NGUỐN VỐN (440=300+400),TỔNG CỘNG NGUỐN VỐN (440=300+400),440,,3.591.055.034.904,2.958.201.847.879,440.0,,3591055034904.0,2958201847879.0
