row_label_raw,row_label_full,col_0,Số cuối năm > Số lượng,Số cuối năm > VNDGiá trị,Số đầu năm > Số lượng,Số đầu năm > VNDGiá trị,numeric__Số cuối năm > Số lượng,numeric__Số cuối năm > VNDGiá trị,numeric__Số đầu năm > Số lượng,numeric__Số đầu năm > VNDGiá trị
Vàng (chỉ),Vàng (chỉ),Vàng (chỉ),230,770.583.999,289.78,485.490.600,230.0,770583999.0,28978.0,485490600.0
Tải sản khác,Tải sản khác,Tải sản khác,-,297.310.081,-,75.505.643,,297310081.0,,75505643.0
,,,230,1.067.894.080,289.78,560.996.243,230.0,1067894080.0,28978.0,560996243.0
