row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,755.970.350.000,105.021.650.000,(7.090.000),232.805.050.783,170.581.591.674,1.264.371.552.457,755970350000.0,105021650000.0,-7090000.0,232805050783.0,170581591674.0,1264371552457.0
Tăng vốn điều lệ,Tăng vốn điều lệ,Tăng vốn điều lệ,226.775.420.000,(105.021.650.000),-,(46.157.440.000),(75.596.330.000),-,226775420000.0,-105021650000.0,,-46157440000.0,-75596330000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,82.861.565.262,82.861.565.262,,,,,82861565262.0,82861565262.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,-,(22.678.897.800),(22.678.897.800),,,,,-22678897800.0,-22678897800.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,33.000.000.000,(33.000.000.000),-,,,,33000000000.0,-33000000000.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(25.587.181.000),(25.587.181.000),,,,,-25587181000.0,-25587181000.0
Trích quỹ khác,Trích quỹ khác,Trích quỹ khác,-,-,-,-,(5.000.000.000),(5.000.000.000),,,,,-5000000000.0,-5000000000.0
Số dư đầu năm nay (Trình bày lại),Số dư đầu năm nay (Trình bày lại),Số dư đầu năm nay (Trình bày lại),982.745.770.000,-,(7.090.000),219.647.610.783,91.580.748.136,1.293.967.038.919,982745770000.0,,-7090000.0,219647610783.0,91580748136.0,1293967038919.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,470.278.995.004,470.278.995.004,,,,,470278995004.0,470278995004.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,-,(245.684.670.000),(245.684.670.000),,,,,-245684670000.0,-245684670000.0
Hoàn nhập quỹ đầu tư phát triển,Hoàn nhập quỹ đầu tư phát triển,Hoàn nhập quỹ đầu tư phát triển,-,-,-,(75.560.053.865),75.560.053.865,-,,,,-75560053865.0,75560053865.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(15.230.000.000),(15.230.000.000),,,,,-15230000000.0,-15230000000.0
Quỹ hoạt động của Hội đồng Quản trị và Ban kiểm soát,Quỹ hoạt động của Hội đồng Quản trị và Ban kiểm soát,Quỹ hoạt động của Hội đồng Quản trị và Ban kiểm soát,-,-,-,-,(2.000.000.000),(2.000.000.000),,,,,-2000000000.0,-2000000000.0
Quỹ Ban Giám đốc,Quỹ Ban Giám đốc,Quỹ Ban Giám đốc,-,-,-,-,(2.500.000.000),(2.500.000.000),,,,,-2500000000.0,-2500000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,982.745.770.000,-,(7.090.000),144.087.556.918,372.005.127.004,1.498.831.363.922,982745770000.0,,-7090000.0,144087556918.0,372005127004.0,1498831363922.0
