row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đãu nămVND,numeric__Số cuối nămVND,numeric__Số đãu nămVND
Tiền mặt,Tiền mặt,Tiền mặt,43.880.544.353,25.181.118.280,43880544353.0,25181118280.0
Tiền gửi ngân hàng,Tiền gửi ngân hàng,Tiền gửi ngân hàng,17.438.949.836,7.132.550.966,17438949836.0,7132550966.0
Tiền đang chuyển,Tiền đang chuyển,Tiền đang chuyển,4.456.432.336,2.034.627.000,4456432336.0,2034627000.0
Các khoản tương đương tiền (*),Các khoản tương đương tiền (*),Các khoản tương đương tiền (*),84.500.000.000,-,84500000000.0,
,,,150.275.926.525,34.348.296.246,150275926525.0,34348296246.0
