row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,,8.566.097.820.347,7.695.629.821.333,1.0,,8566097820347.0,7695629821333.0
2. Các khoản giám trú doanh thu,2. Các khoản giám trú doanh thu,2. Các khoản giám trú doanh thu,02,,49.850.158.226,32.772.062.485,2.0,,49850158226.0,32772062485.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,28,8.516.247.662.121,7.662.857.758.848,10.0,28.0,8516247662121.0,7662857758848.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,29,7.135.192.385.182,6.526.825.680.421,11.0,29.0,7135192385182.0,6526825680421.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,1.381.055.276.939,1.136.032.078.427,20.0,,1381055276939.0,1136032078427.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,31,12.797.356.121,25.202.741.050,21.0,31.0,12797356121.0,25202741050.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,32,161.892.535.546,430.803.003.461,22.0,32.0,161892535546.0,430803003461.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,73.196.281.440,81.048.729.469,23.0,,73196281440.0,81048729469.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,33,537.302.983.572,414.552.191.198,25.0,33.0,537302983572.0,414552191198.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,34,130.525.110.306,115.421.041.014,26.0,34.0,130525110306.0,115421041014.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,564.132.003.636,200.458.583.804,30.0,,564132003636.0,200458583804.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,35,47.305.089.666,1.622.837.532,31.0,35.0,47305089666.0,1622837532.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,36,3.367.732.150,12.119.791.603,32.0,36.0,3367732150.0,12119791603.0
13. Lợi nhuận/(lỗ) khác (40=31-32),13. Lợi nhuận/(lỗ) khác (40=31-32),13. Lợi nhuận/(lỗ) khác (40=31-32),40,,43.937.357.516,(10.496.954.071),40.0,,43937357516.0,-10496954071.0
14. Lợi nhuận kế toán trước thuế (50=30+40),14. Lợi nhuận kế toán trước thuế (50=30+40),14. Lợi nhuận kế toán trước thuế (50=30+40),50,,608.069.361.152,189.961.629.733,50.0,,608069361152.0,189961629733.0
15. Chi phí thuế thu nhập doanh nghiệp,15. Chi phí thuế thu nhập doanh nghiệp,15. Chi phí thuế thu nhập doanh nghiệp,51,37,137.614.509.165,109.041.680.803,51.0,37.0,137614509165.0,109041680803.0
16. Chi phí/(Thu nhập) thuế thu nhập,16. Chi phí/(Thu nhập) thuế thu nhập,16. Chi phí/(Thu nhập) thuế thu nhập,52,20,175.856.983,(1.941.616.332),52.0,20.0,175856983.0,-1941616332.0
17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,470.278.995.004,82.861.565.262,60.0,,470278995004.0,82861565262.0
