row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,3.093.009.616.407,2.249.671.374.204,100.0,,3093009616407.0,2249671374204.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,6,150.275.926.525,34.348.296.246,110.0,6.0,150275926525.0,34348296246.0
1. Tiền,1. Tiền,1. Tiền,111,,65.775.926.525,34.348.296.246,111.0,,65775926525.0,34348296246.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,84.500.000.000,-,112.0,,84500000000.0,
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,7,65.000.000,65.000.000,120.0,7.0,65000000.0,65000000.0
1. Đầu tư năm giữ đến ngày đáo hạn,1. Đầu tư năm giữ đến ngày đáo hạn,1. Đầu tư năm giữ đến ngày đáo hạn,123,,65.000.000,65.000.000,123.0,,65000000.0,65000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,82.241.929.516,53.885.770.899,130.0,,82241929516.0,53885770899.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,8,34.523.228.986,29.617.644.782,131.0,8.0,34523228986.0,29617644782.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,,18.557.867.930,9.150.910.662,132.0,,18557867930.0,9150910662.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,9,28.092.938.520,14.556.219.212,136.0,9.0,28092938520.0,14556219212.0
