row_label_raw,row_label_full,Số đầu năm > VNDGiá trị,Số đầu năm > VNDSố có khả năngtrả nợ,Trong năm > VNDTăng,Trong năm > VNDGiảm,Số cuối năm > VNDGiá trị,Số cuối năm > VNDSố có khả năngtrả nợ,numeric__Số đầu năm > VNDSố có khả năngtrả nợ,numeric__Trong năm > VNDTăng,numeric__Trong năm > VNDGiảm,numeric__Số cuối năm > VNDGiá trị,numeric__Số cuối năm > VNDSố có khả năngtrả nợ
-,-,-,-,330.884.630.000,(287.000.000.000),43.884.630.000,43.884.630.000,,330884630000.0,-287000000000.0,43884630000.0,43884630000.0
31.000.000.000,31.000.000.000,31.000.000.000,31.000.000.000,700.228.875.453,(483.482.875.453),247.746.000.000,247.746.000.000,31000000000.0,700228875453.0,-483482875453.0,247746000000.0,247746000000.0
279.947.647.855,279.947.647.855,279.947.647.855,279.947.647.855,561.537.918.780,(580.982.008.098),250.503.558.537,260.503.558.537,279947647855.0,561537918780.0,-580982008098.0,250503558537.0,260503558537.0
100.000.000.000,100.000.000.000,100.000.000.000,100.000.000.000,60.000.000.000,(160.000.000.000),-,-,100000000000.0,60000000000.0,-160000000000.0,,
65.669.000.000,65.669.000.000,65.669.000.000,65.669.000.000,215.210.000.000,(214.479.000.000),66.400.000.000,66.400.000.000,65669000000.0,215210000000.0,-214479000000.0,66400000000.0,66400000000.0
60.000.000.000,60.000.000.000,60.000.000.000,60.000.000.000,180.000.000.000,(180.000.000.000),60.000.000.000,60.000.000.000,60000000000.0,180000000000.0,-180000000000.0,60000000000.0,60000000000.0
60.267.509.526,60.267.509.526,60.267.509.526,60.267.509.526,102.794.991.964,(159.062.501.490),4.000.000.000,4.000.000.000,60267509526.0,102794991964.0,-159062501490.0,4000000000.0,4000000000.0
-,-,-,-,79.295.679.416,-,79.295.679.416,79.295.679.416,,79295679416.0,,79295679416.0,79295679416.0
-,-,-,-,247.426.771.298,(148.346.816.763),99.079.954.535,99.079.954.535,,247426771298.0,-148346816763.0,99079954535.0,99079954535.0
-,-,-,-,258.793.140.000,(125.085.060.000),133.708.080.000,133.708.080.000,,258793140000.0,-125085060000.0,133708080000.0,133708080000.0
-,-,-,-,110.199.768.760,(6.012.000.000),104.187.768.760,104.187.768.760,,110199768760.0,-6012000000.0,104187768760.0,104187768760.0
-,-,-,-,59.399.532.596,-,59.399.532.596,59.399.532.596,,59399532596.0,,59399532596.0,59399532596.0
300.000.000.000,300.000.000.000,300.000.000.000,300.000.000.000,18.867.373.805,(300.000.000.000),18.867.373.805,18.867.373.805,300000000000.0,18867373805.0,-300000000000.0,18867373805.0,18867373805.0
6.000.000.000,6.000.000.000,6.000.000.000,6.000.000.000,8.000.000.000,(5.000.000.000),9.000.000.000,9.000.000.000,6000000000.0,8000000000.0,-5000000000.0,9000000000.0,9000000000.0
265.572.301.515,265.572.301.515,265.572.301.515,265.572.301.515,325.045.587.215,(350.629.521.332),239.988.367.398,239.988.367.398,265572301515.0,325045587215.0,-350629521332.0,239988367398.0,239988367398.0
26.804.000.000,26.804.000.000,26.804.000.000,26.804.000.000,31.894.000.000,(26.804.000.000),31.894.000.000,31.894.000.000,26804000000.0,31894000000.0,-26804000000.0,31894000000.0,31894000000.0
1.195.260.458.896,1.195.260.458.896,1.195.260.458.896,1.195.260.458.896,3.289.578.269.287,(3.026.883.783.136),1.457.954.945.047,1.457.954.945.047,1195260458896.0,3289578269287.0,-3026883783136.0,1457954945047.0,1457954945047.0
