row_label_raw,row_label_full,col_0,Năm nay(Số năm),numeric__Năm nay(Số năm)
Nhà xưởng và vật kiến trúc,Nhà xưởng và vật kiến trúc,Nhà xưởng và vật kiến trúc,03 - 25,
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",03 - 15,
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,04 - 10,
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,03 - 08,
