row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,4.363.963.222.409,3.587.597.717.336,4363963222409.0,3587597717336.0
Thuế tính ở thuế suất 20% Điều chỉnh:,Thuế tính ở thuế suất 20% Điều chỉnh:,Thuế tính ở thuế suất 20% Điều chỉnh:,872.792.644.482,717.519.543.467,872792644482.0,717519543467.0
Thu nhập không chịu thuế,Thu nhập không chịu thuế,Thu nhập không chịu thuế,(203.402.308),(1.600.000.000),-203402308.0,-1600000000.0
Chi phí không được khấu trừ,Chi phí không được khấu trừ,Chi phí không được khấu trừ,893.562.712,9.549.398.618,893562712.0,9549398618.0
Dự phòng thiếu của năm trước,Dự phòng thiếu của năm trước,Dự phòng thiếu của năm trước,201.256.353,208.833.976,201256353.0,208833976.0
Chênh lệch tạm thời mà không ghi nhận thuế TNDN hoãn lại,Chênh lệch tạm thời mà không ghi nhận thuế TNDN hoãn lại,Chênh lệch tạm thời mà không ghi nhận thuế TNDN hoãn lại,2.436.158.808,34.665.414,2436158808.0,34665414.0
Khác,Khác,Khác,1.637.677.261,799.171.900,1637677261.0,799171900.0
Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),877.757.897.308,726.511.613.375,877757897308.0,726511613375.0
Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,,,,
Thuế TNDN - hiện hành (Thuyết minh 15(b)),Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất: > Thuế TNDN - hiện hành (Thuyết minh 15(b)),Thuế TNDN - hiện hành (Thuyết minh 15(b)),866.690.181.308,726.110.309.518,866690181308.0,726110309518.0
Thuế TNDN - hoãn lại (Thuyết minh 12),Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất: > Thuế TNDN - hoãn lại (Thuyết minh 12),Thuế TNDN - hoãn lại (Thuyết minh 12),11.067.716.000,401.303.857,11067716000.0,401303857.0
Chi phí thuế TNDN (*),Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất: > Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),877.757.897.308,726.511.613.375,877757897308.0,726511613375.0
