row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 (Điều chỉnh lại (*)),numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 (Điều chỉnh lại (*))
Lợi nhuận thuần phân bổ cho các cổ đông (VND),Lợi nhuận thuần phân bổ cho các cổ đông (VND),Lợi nhuận thuần phân bổ cho các cổ đông (VND),3.417.997.633.446,2.803.323.676.314,3417997633446.0,2803323676314.0
"Điều chỉnh giảm số trích quỹ khen thưởng, phúc lợi (VND)","Điều chỉnh giảm số trích quỹ khen thưởng, phúc lợi (VND)","Điều chỉnh giảm số trích quỹ khen thưởng, phúc lợi (VND)",(352.209.454.411),(282.414.306.066),-352209454411.0,-282414306066.0
Lợi nhuận tính lãi cơ bản trên cổ phiếu,Lợi nhuận tính lãi cơ bản trên cổ phiếu,Lợi nhuận tính lãi cơ bản trên cổ phiếu,3.065.788.179.035,2.520.909.370.248,3065788179035.0,2520909370248.0
Bình quân số cổ phiếu phổ thông đang lưu hành (cổ phiếu),Bình quân số cổ phiếu phổ thông đang lưu hành (cổ phiếu),Bình quân số cổ phiếu phổ thông đang lưu hành (cổ phiếu),738.763.463,738.763.463,738763463.0,738763463.0
Lãi cơ bản trên mỗi cổ phiếu (VND),Lãi cơ bản trên mỗi cổ phiếu (VND),Lãi cơ bản trên mỗi cổ phiếu (VND),4.150,3.412,4150.0,3412.0
