row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Thiết bịquản lýVND,Phương tiệnvận tảiVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Thiết bịquản lýVND,numeric__Phương tiệnvận tảiVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1.1.2025,Nguyên giá > Tại ngày 1.1.2025,Tại ngày 1.1.2025,251.045.752.738,12.961.125.162.864,134.806.879.767,21.928.364.747,131.767.500,13.369.037.927.616,251045752738.0,12961125162864.0,134806879767.0,21928364747.0,131767500.0,13369037927616.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,454.927.358,467.867.099.174,1.220.452.710,9.232.173.861,-,478.774.653.103,454927358.0,467867099174.0,1220452710.0,9232173861.0,,478774653103.0
Chuyển sang từ xây dựng cơbản dở dang,Nguyên giá > Chuyển sang từ xây dựng cơbản dở dang,Chuyển sang từ xây dựng cơbản dở dang,239.282.330.389,843.654.386.277,-,-,-,1.082.936.716.666,239282330389.0,843654386277.0,,,,1082936716666.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(439.124.143),2.365.434.222,(1.239.378.675),(1.287.618.499),-,(600.687.095),-439124143.0,2365434222.0,-1239378675.0,-1287618499.0,,-600687095.0
"Thanh lý, xóa sổ","Nguyên giá > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,(249.595.986.602),(1.005.850.317),(2.500.898.702),-,(253.102.735.621),,-249595986602.0,-1005850317.0,-2500898702.0,,-253102735621.0
Khác,Nguyên giá > Khác,Khác,-,(120.754.771),-,-,-,(120.754.771),,-120754771.0,,,,-120754771.0
Tại ngày 31.12.2025,Nguyên giá > Tại ngày 31.12.2025,Tại ngày 31.12.2025,490.343.886.342,14.025.295.341.164,133.782.103.485,27.372.021.407,131.767.500,14.676.925.119.898,490343886342.0,14025295341164.0,133782103485.0,27372021407.0,131767500.0,14676925119898.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1.1.2025,Giá trị khấu hao lũy kế > Tại ngày 1.1.2025,Tại ngày 1.1.2025,(93.046.055.887),(8.062.333.540.772),(123.592.096.395),(11.358.473.730),(19.873.131),(8.290.350.039.915),-93046055887.0,-8062333540772.0,-123592096395.0,-11358473730.0,-19873131.0,-8290350039915.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(10.665.819.835),(1.253.655.165.789),(5.304.505.592),(3.017.049.852),(26.353.496),(1.272.668.894.564),-10665819835.0,-1253655165789.0,-5304505592.0,-3017049852.0,-26353496.0,-1272668894564.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,240.616,27.812.767,185.705.070,5.819.777,-,219.578.230,240616.0,27812767.0,185705070.0,5819777.0,,219578230.0
"Thanh lý, xóa sổ","Giá trị khấu hao lũy kế > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,205.729.753.873,954.681.666,2.500.898.702,-,209.185.334.241,,205729753873.0,954681666.0,2500898702.0,,209185334241.0
Khác,Giá trị khấu hao lũy kế > Khác,Khác,-,(12.905.091),-,-,-,(12.905.091),,-12905091.0,,,,-12905091.0
Tại ngày 31.12.2025,Giá trị khấu hao lũy kế > Tại ngày 31.12.2025,Tại ngày 31.12.2025,(103.711.635.106),(9.110.244.045.012),(127.756.215.251),(11.868.805.103),(46.226.627),(9.353.626.927.099),-103711635106.0,-9110244045012.0,-127756215251.0,-11868805103.0,-46226627.0,-9353626927099.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1.1.2025,Giá trị còn lại > Tại ngày 1.1.2025,Tại ngày 1.1.2025,157.999.696.851,4.898.791.622.092,11.214.783.372,10.569.891.017,111.894.369,5.078.687.887.701,157999696851.0,4898791622092.0,11214783372.0,10569891017.0,111894369.0,5078687887701.0
Tại ngày 31.12.2025,Giá trị còn lại > Tại ngày 31.12.2025,Tại ngày 31.12.2025,386.632.251.236,4.915.051.296.152,6.025.888.234,15.503.216.304,85.540.873,5.323.298.192.799,386632251236.0,4915051296152.0,6025888234.0,15503216304.0,85540873.0,5323298192799.0
