row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Vốn khác của chủ sở hữu VND,Quỹ đầu tư phát triển VND,LNST chưa phân phối VND,Lợi ích của cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__LNST chưa phân phối VND,numeric__Lợi ích của cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,4.925.091.640.000,55.391.600.000,1.709.722.205.278,2.065.692.248.602,317.866.838.369,9.073.764.532.249,4925091640000.0,55391600000.0,1709722205278.0,2065692248602.0,317866838369.0,9073764532249.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,,,2.803.323.676.314,57.762.427.647,2.861.086.103.961,,,,2803323676314.0,57762427647.0,2861086103961.0
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,(985.018.328.000),(16.020.374.000),(1.001.038.702.000),,,,-985018328000.0,-16020374000.0,-1001038702000.0
Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,-,-,412.361.619.530,(412.361.619.530),-,-,,,412361619530.0,-412361619530.0,,
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,(282.414.306.066),(5.776.243.730),(288.190.549.796),,,,-282414306066.0,-5776243730.0,-288190549796.0
Khác,Khác,Khác,-,-,-,642.896.753,(44.659),642.852.094,,,,642896753.0,-44659.0,642852094.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,4.925.091.640.000,55.391.600.000,2.122.083.824.808,3.189.864.568.073,353.832.603.627,10.646.264.236.508,4925091640000.0,55391600000.0,2122083824808.0,3189864568073.0,353832603627.0,10646264236508.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,3.417.997.633.446,68.207.691.655,3.486.205.325.101,,,,3417997633446.0,68207691655.0,3486205325101.0
Chia cổ tức bằng tiền (*),Chia cổ tức bằng tiền (*),Chia cổ tức bằng tiền (*),-,-,-,(2.462.545.820.000),(80.101.870.000),(2.542.647.690.000),,,,-2462545820000.0,-80101870000.0,-2542647690000.0
Tăng vốn cổ phần bằng phát hành cổ phiếu,Tăng vốn cổ phần bằng phát hành cổ phiếu,Tăng vốn cổ phần bằng phát hành cổ phiếu,2.462.542.990.000,-,(2.122.083.824.808),(340.459.165.192),-,-,2462542990000.0,,-2122083824808.0,-340459165192.0,,
Trích Quỹ đầu tư phát triển (*),Trích Quỹ đầu tư phát triển (*),Trích Quỹ đầu tư phát triển (*),-,-,580.634.183.368,(580.634.183.368),-,-,,,580634183368.0,-580634183368.0,,
"Trích Quỹ khen thưởng, phúc lợi (Thuyết minh 20) (*)","Trích Quỹ khen thưởng, phúc lợi (Thuyết minh 20) (*)","Trích Quỹ khen thưởng, phúc lợi (Thuyết minh 20) (*)",-,-,-,(352.209.454.411),(6.820.775.099),(359.030.229.510),,,,-352209454411.0,-6820775099.0,-359030229510.0
Khác,Khác,Khác,-,-,-,(7.000.000),-,(7.000.000),,,,-7000000.0,,-7000000.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,7.387.634.630.000,55.391.600.000,580.634.183.368,2.872.006.578.548,335.117.650.183,11.230.784.642.099,7387634630000.0,55391600000.0,580634183368.0,2872006578548.0,335117650183.0,11230784642099.0
