row_label_raw,row_label_full,col_0,31.12.2025 > Giá trị VND,31.12.2025 > Số có khả năng trả nợ VND,31.12.2024 > Giá trị VND,31.12.2024 > Số có khả năng trả nợ VND,numeric__31.12.2025 > Giá trị VND,numeric__31.12.2025 > Số có khả năng trả nợ VND,numeric__31.12.2024 > Giá trị VND,numeric__31.12.2024 > Số có khả năng trả nợ VND
"Bên thứ baTrong đó:- Công ty Cổ phần Phát triển Công nghệViễn thông Tin học Sun Việt- Hisense Broadband MultimediaTechnologies Co., Ltd- Khác","Bên thứ baTrong đó:- Công ty Cổ phần Phát triển Công nghệViễn thông Tin học Sun Việt- Hisense Broadband MultimediaTechnologies Co., Ltd- Khác","Bên thứ baTrong đó:- Công ty Cổ phần Phát triển Công nghệViễn thông Tin học Sun Việt- Hisense Broadband MultimediaTechnologies Co., Ltd- Khác",1.767.035.466.702,1.767.035.466.702,1.488.425.035.740,1.488.425.035.740,1767035466702.0,1767035466702.0,1488425035740.0,1488425035740.0
"Bên thứ baTrong đó:- Công ty Cổ phần Phát triển Công nghệViễn thông Tin học Sun Việt- Hisense Broadband MultimediaTechnologies Co., Ltd- Khác","Bên thứ baTrong đó:- Công ty Cổ phần Phát triển Công nghệViễn thông Tin học Sun Việt- Hisense Broadband MultimediaTechnologies Co., Ltd- Khác","Bên thứ baTrong đó:- Công ty Cổ phần Phát triển Công nghệViễn thông Tin học Sun Việt- Hisense Broadband MultimediaTechnologies Co., Ltd- Khác",235.830.916.000,235.830.916.000,153.347.156.300,153.347.156.300,235830916000.0,235830916000.0,153347156300.0,153347156300.0
"Bên thứ baTrong đó:- Công ty Cổ phần Phát triển Công nghệViễn thông Tin học Sun Việt- Hisense Broadband MultimediaTechnologies Co., Ltd- Khác","Bên thứ baTrong đó:- Công ty Cổ phần Phát triển Công nghệViễn thông Tin học Sun Việt- Hisense Broadband MultimediaTechnologies Co., Ltd- Khác","Bên thứ baTrong đó:- Công ty Cổ phần Phát triển Công nghệViễn thông Tin học Sun Việt- Hisense Broadband MultimediaTechnologies Co., Ltd- Khác",238.960.845.580,238.960.845.580,144.916.123.936,144.916.123.936,238960845580.0,238960845580.0,144916123936.0,144916123936.0
"Bên thứ baTrong đó:- Công ty Cổ phần Phát triển Công nghệViễn thông Tin học Sun Việt- Hisense Broadband MultimediaTechnologies Co., Ltd- Khác","Bên thứ baTrong đó:- Công ty Cổ phần Phát triển Công nghệViễn thông Tin học Sun Việt- Hisense Broadband MultimediaTechnologies Co., Ltd- Khác","Bên thứ baTrong đó:- Công ty Cổ phần Phát triển Công nghệViễn thông Tin học Sun Việt- Hisense Broadband MultimediaTechnologies Co., Ltd- Khác",1.292.243.705.122,1.292.243.705.122,1.190.161.755.504,1.190.161.755.504,1292243705122.0,1292243705122.0,1190161755504.0,1190161755504.0
Bên liên quan (Thuyết minh 34(b)),Bên liên quan (Thuyết minh 34(b)),Bên liên quan (Thuyết minh 34(b)),107.574.696.204,107.574.696.204,52.923.611.432,52.923.611.432,107574696204.0,107574696204.0,52923611432.0,52923611432.0
Bên liên quan (Thuyết minh 34(b)),Bên liên quan (Thuyết minh 34(b)),Bên liên quan (Thuyết minh 34(b)),1.874.610.162.906,1.874.610.162.906,1.541.348.647.172,1.541.348.647.172,1874610162906.0,1874610162906.0,1541348647172.0,1541348647172.0
14 NGƯỜI MUA TRẢ TIỀN TRƯỚC NGẮN HẠN,14 NGƯỜI MUA TRẢ TIỀN TRƯỚC NGẮN HẠN,14 NGƯỜI MUA TRẢ TIỀN TRƯỚC NGẮN HẠN,14 NGƯỜI MUA TRẢ TIỀN TRƯỚC NGẮN HẠN,14 NGƯỜI MUA TRẢ TIỀN TRƯỚC NGẮN HẠN,14 NGƯỜI MUA TRẢ TIỀN TRƯỚC NGẮN HẠN,14 NGƯỜI MUA TRẢ TIỀN TRƯỚC NGẮN HẠN,,,,
,,,,,31.12.2025VND,31.12.2024VND,,,,
Bên thứ baBên liên quan (Thuyết minh 34(b)),14 NGƯỜI MUA TRẢ TIỀN TRƯỚC NGẮN HẠN > Bên thứ baBên liên quan (Thuyết minh 34(b)),Bên thứ baBên liên quan (Thuyết minh 34(b)),,,110.528.193.52223.760.102.723,123.277.635.732-,,,1.105281935222376e+22,
,,,,,134.288.296.245,123.277.635.732,,,134288296245.0,123277635732.0
