row_label_raw,row_label_full,col_0,col_1,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__col_1,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
,,,,2025VND,2024VND,,,
,,,Số dư đầu năm(Hoàn nhập)/tăng dự phòng (Thuyết minh 26),17.126.007.656(2.346.505.891),16.797.484.252328.523.404,,,1.6797484252328524e+19
,,,Số dư cuối năm,14.779.501.765,17.126.007.656,,14779501765.0,17126007656.0
9,9,9,CHI PHÍ TRÀ TRƯỚC,CHI PHÍ TRÀ TRƯỚC,CHI PHÍ TRÀ TRƯỚC,,,
(a),(a),(a),Ngắn hạn,,,,,
,,,,31.12.2025VND,31.12.2024VND,,,
,,,"Chi phí thuê (bản quyền, văn phòng, kênh,đường truyền, cáp quang)",129.952.711.661,87.403.921.151,,129952711661.0,87403921151.0
,,,Khác,96.088.611.644,58.431.595.087,,96088611644.0,58431595087.0
,,,,226.041.323.305,145.835.516.238,,226041323305.0,145835516238.0
(b),(b),(b),Dài hạn,,,,,
,,,,31.12.2025VND,31.12.2024VND,,,
,,,Chi phí triển khai dịch vụ cho thuê bao mới (*),2.055.454.565.292,1.804.520.929.972,,2055454565292.0,1804520929972.0
,,,Chi phí thuê văn phòng,378.773.199.169,284.076.784.156,,378773199169.0,284076784156.0
,,,Khác,204.740.799.217,288.655.896.686,,204740799217.0,288655896686.0
,,,,2.638.968.563.678,2.377.253.610.814,,2638968563678.0,2377253610814.0
