row_label_raw,row_label_full,col_0,Tại ngày1.1.2025VND,Số phải thu trong nămVND,Số đã được hoàn/thực thu trong nămVND,Tại ngày31.12.2025VND,numeric__Tại ngày1.1.2025VND,numeric__Số phải thu trong nămVND,numeric__Số đã được hoàn/thực thu trong nămVND,numeric__Tại ngày31.12.2025VND
Thuế GTGT đầu vào,Thuế GTGT đầu vào,Thuế GTGT đầu vào,-,15.721.122.605,-,15.721.122.605,,15721122605.0,,15721122605.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,109.222.033,163.798.515,(109.222.033),163.798.515,109222033.0,163798515.0,-109222033.0,163798515.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,38.293.989.593,(38.293.989.593),-,,38293989593.0,-38293989593.0,
,,,109.222.033,54.178.910.713,(38.403.211.626),15.884.921.120,109222033.0,54178910713.0,-38403211626.0,15884921120.0
(b) Phải nộp,(b) Phải nộp,(b) Phải nộp,(b) Phải nộp,(b) Phải nộp,(b) Phải nộp,(b) Phải nộp,,,,
,,,Tại ngày1.1.2025VND,Số phải nộptrong nămVND,Số đã thực nộp/cấn trừ trong nămVND,Tại ngày31.12.2025VND,,,,
Thuế GTGT đầu ra,(b) Phải nộp > Thuế GTGT đầu ra,Thuế GTGT đầu ra,61.613.292.007,2.580.067.617.535,(2.580.144.585.296),61.536.324.246,61613292007.0,2580067617535.0,-2580144585296.0,61536324246.0
Thuế TNDN,(b) Phải nộp > Thuế TNDN,Thuế TNDN,329.406.438.734,866.580.959.275,(955.204.175.376),240.783.222.633,329406438734.0,866580959275.0,-955204175376.0,240783222633.0
Thuế nhà thầu nước ngoài,(b) Phải nộp > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,25.001.637.652,88.342.714.160,(103.784.662.541),9.559.689.271,25001637652.0,88342714160.0,-103784662541.0,9559689271.0
Thuế thu nhập cá nhân,(b) Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,10.336.742.771,374.203.854.970,(296.118.764.567),88.421.833.174,10336742771.0,374203854970.0,-296118764567.0,88421833174.0
Thuế nhập khẩu,(b) Phải nộp > Thuế nhập khẩu,Thuế nhập khẩu,-,8.844.999.404,(8.844.999.404),-,,8844999404.0,-8844999404.0,
Thuế khác,(b) Phải nộp > Thuế khác,Thuế khác,-,578.386.201,(577.886.201),500.000,,578386201.0,-577886201.0,500000.0
,,,426.358.111.164,3.918.618.531.545,(3.944.675.073.385),400.301.569.324,426358111164.0,3918618531545.0,-3944675073385.0,400301569324.0
