row_label_raw,row_label_full,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,29.281.679.398,13.741.865.748,numeric__29.281.679.398,numeric__13.741.865.748
Công ty TNHH FPT IS,Công ty TNHH FPT IS,Công ty TNHH FPT IS,16.234.368.897,16.518.276.086,16234368897.0,16518276086.0
Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,7.136.477.823,2.823.192.484,7136477823.0,2823192484.0
Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,2.963.843.423,3.991.804.148,2963843423.0,3991804148.0
Công ty Cổ phần FPT,Công ty Cổ phần FPT,Công ty Cổ phần FPT,432.684.562,1.666.193.640,432684562.0,1666193640.0
Công ty TNHH Phân phối Synnex FPT,Công ty TNHH Phân phối Synnex FPT,Công ty TNHH Phân phối Synnex FPT,295.044.643,611.812.939,295044643.0,611812939.0
Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,274.496.648,335.553.950,274496648.0,335553950.0
Các công ty thành viên khác cùng Tập đoàn,Các công ty thành viên khác cùng Tập đoàn,Các công ty thành viên khác cùng Tập đoàn,67.636.457,84.409.881,67636457.0,84409881.0
