row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,
Doanh thu cung cấp dịch vụ,Doanh thu > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,18.317.738.491.334,16.571.568.200.477,18317738491334.0,16571568200477.0
Doanh thu bán hàng hóa,Doanh thu > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,1.204.068.336.487,1.046.092.796.202,1204068336487.0,1046092796202.0
,,,19.521.806.827.821,17.617.660.996.679,19521806827821.0,17617660996679.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,,
Chiết khấu thương mại và các khoản giảm trừ khác,Các khoản giảm trừ > Chiết khấu thương mại và các khoản giảm trừ khác,Chiết khấu thương mại và các khoản giảm trừ khác,(15.020.359.665),(6.200.970.292),-15020359665.0,-6200970292.0
Hàng bán bị trả lại,Các khoản giảm trừ > Hàng bán bị trả lại,Hàng bán bị trả lại,(71.159.000),(1.059.773.750),-71159000.0,-1059773750.0
,,,(15.091.518.665),(7.260.744.042),-15091518665.0,-7260744042.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,,
Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về cung cấp dịch vụ,18.302.718.131.669,16.565.367.230.185,18302718131669.0,16565367230185.0
Doanh thu thuần về bán hàng hóa,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần về bán hàng hóa,Doanh thu thuần về bán hàng hóa,1.203.997.177.487,1.045.033.022.452,1203997177487.0,1045033022452.0
,,,19.506.715.309.156,17.610.400.252.637,19506715309156.0,17610400252637.0
