row_label_raw,row_label_full,col_0,31.12.2025 > Giá gốc VND,31.12.2025 > Giá trị ghi sổ VND,31.12.2025 > Giá trị ghi sổ VND_1,31.12.2024 > Giá gốc VND,31.12.2024 > Giá trị ghi sổ VND,31.12.2024 > Giá trị ghi sổ VND_1,numeric__31.12.2025 > Giá gốc VND,numeric__31.12.2025 > Giá trị ghi sổ VND,numeric__31.12.2025 > Giá trị ghi sổ VND_1,numeric__31.12.2024 > Giá gốc VND,numeric__31.12.2024 > Giá trị ghi sổ VND,numeric__31.12.2024 > Giá trị ghi sổ VND_1
i. Ngắn hạn,i. Ngắn hạn,i. Ngắn hạn,,,,,,,,,,,,
Tiền gửi ngân hàng có kỳ hạn (*),i. Ngắn hạn > Tiền gửi ngân hàng có kỳ hạn (*),Tiền gửi ngân hàng có kỳ hạn (*),12.378.501.219.537,12.378.501.219.537,12.378.501.219.537,11.376.821.923.875,11.376.821.923.875,11.376.821.923.875,12378501219537.0,12378501219537.0,12378501219537.0,11376821923875.0,11376821923875.0,11376821923875.0
ii. Dài hạn,ii. Dài hạn,ii. Dài hạn,,,,,,,,,,,,
Tiền gửi ngân hàng có kỳ hạn,ii. Dài hạn > Tiền gửi ngân hàng có kỳ hạn,Tiền gửi ngân hàng có kỳ hạn,-,-,-,200.000.000,200.000.000,200.000.000,,,,200000000.0,200000000.0,200000000.0
