row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Bản quyền, bằng sáng chế VND",Giấy phép bản quyền và quyền khai thác VND,Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Bản quyền, bằng sáng chế VND",numeric__Giấy phép bản quyền và quyền khai thác VND,numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1.1.2025,Nguyên giá > Tại ngày 1.1.2025,Tại ngày 1.1.2025,195.076.371.451,98.000.000,878.695.106.238,180.016.244.286,1.253.885.721.975,195076371451.0,98000000.0,878695106238.0,180016244286.0,1253885721975.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,5.622.799.997,-,3.248.293.394,14.823.293.818,23.694.387.209,5622799997.0,,3248293394.0,14823293818.0,23694387209.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,-,(119.658.808.438),600.687.095,(119.058.121.343),,,-119658808438.0,600687095.0,-119058121343.0
"Thanh lý, xóa sổ","Nguyên giá > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,-,-,(8.272.227.031),(8.272.227.031),,,,-8272227031.0,-8272227031.0
Tại ngày 31.12.2025,Nguyên giá > Tại ngày 31.12.2025,Tại ngày 31.12.2025,200.699.171.448,98.000.000,762.284.591.194,187.167.998.168,1.150.249.760.810,200699171448.0,98000000.0,762284591194.0,187167998168.0,1150249760810.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1.1.2025,Giá trị khấu hao lũy kế > Tại ngày 1.1.2025,Tại ngày 1.1.2025,-,(178.506),(481.003.159.011),(163.376.037.771),(644.379.375.288),,-178506.0,-481003159011.0,-163376037771.0,-644379375288.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(32.666.666),(34.440.838.592),(16.622.087.469),(51.095.592.727),,-32666666.0,-34440838592.0,-16622087469.0,-51095592727.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,-,-,-,(219.578.230),(219.578.230),,,,-219578230.0,-219578230.0
"Thanh lý, xóa sổ","Giá trị khấu hao lũy kế > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,-,-,8.122.289.274,8.122.289.274,,,,8122289274.0,8122289274.0
Tại ngày 31.12.2025,Giá trị khấu hao lũy kế > Tại ngày 31.12.2025,Tại ngày 31.12.2025,-,(32.845.172),(515.443.997.603),(172.095.414.196),(687.572.256.971),,-32845172.0,-515443997603.0,-172095414196.0,-687572256971.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1.1.2025,Giá trị còn lại > Tại ngày 1.1.2025,Tại ngày 1.1.2025,195.076.371.451,97.821.494,397.691.947.227,16.640.206.515,609.506.346.687,195076371451.0,97821494.0,397691947227.0,16640206515.0,609506346687.0
Tại ngày 31.12.2025,Giá trị còn lại > Tại ngày 31.12.2025,Tại ngày 31.12.2025,200.699.171.448,65.154.828,246.840.593.591,15.072.583.972,462.677.503.839,200699171448.0,65154828.0,246840593591.0,15072583972.0,462677503839.0
