row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,338.052,309.735,200.232,85.672,26.856,960.547,338052.0,309735.0,200232.0,85672.0,26856.0,960547.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,34.390,42.464,26.035,2.856,12.574,118.319,34390.0,42464.0,26035.0,2856.0,12574.0,118319.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.264),(917),(7.091),(5.889),(1.848),(18.009),-2264.0,-917.0,-7091.0,-5889.0,-1848.0,-18009.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,370.178,351.282,219.176,82.639,37.582,1.060.857,370178.0,351282.0,219176.0,82639.0,37582.0,1060857.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,80.513,244.822,131.104,81.074,18.715,556.228,80513.0,244822.0,131104.0,81074.0,18715.0,556228.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,18.800,34.610,17.781,2.859,4.465,78.515,18800.0,34610.0,17781.0,2859.0,4465.0,78515.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.906),(916),(6.908),(5.353),(1.833),(16.916),-1906.0,-916.0,-6908.0,-5353.0,-1833.0,-16916.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,97.407,278.516,141.977,78.580,21.347,617.827,97407.0,278516.0,141977.0,78580.0,21347.0,617827.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,257.539,64.913,69.128,4.598,8.141,404.319,257539.0,64913.0,69128.0,4598.0,8141.0,404319.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,272.771,72.766,77.199,4.059,16.235,443.030,272771.0,72766.0,77199.0,4059.0,16235.0,443030.0
