row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tài sản cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.281.049,213.824,37.372,4.532.245,4281049.0,213824.0,37372.0,4532245.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,24.913,2.949,27.862,,24913.0,2949.0,27862.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(215),-,-,(215),-215.0,,,-215.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,17.372,(17.372),-,,17372.0,-17372.0,
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,-,10.867,62,10.929,,10867.0,62.0,10929.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.280.834,266.976,23.011,4.570.821,4280834.0,266976.0,23011.0,4570821.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,5.963,194.140,25.504,225.607,5963.0,194140.0,25504.0,225607.0
Khẩu hao trong năm,Hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,158,19.384,1.129,20.671,158.0,19384.0,1129.0,20671.0
Phân loại lại,Hao mòn lũy kế > Phân loại lại,Phân loại lại,-,14.502,(14.502),-,,14502.0,-14502.0,
Biến động khác,Hao mòn lũy kế > Biến động khác,Biến động khác,-,10.867,62,10.929,,10867.0,62.0,10929.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,6.121,238.893,12.193,257.207,6121.0,238893.0,12193.0,257207.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.275.086,19.684,11.868,4.306.638,4275086.0,19684.0,11868.0,4306638.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.274.713,28.083,10.818,4.313.614,4274713.0,28083.0,10818.0,4313614.0
