row_label_raw,row_label_full,Tiền gửi của Kho bạc Nhà nước Việt Nam > Tiền gửi của Kho bạc Nhà nước Việt Nam bằng VND,31/12/2019Triệu VND > -,31/12/2018Triệu VND > 2.000.000,numeric__31/12/2019Triệu VND > -,numeric__31/12/2018Triệu VND > 2.000.000
Vay NHNN,Vay NHNN,Vay NHNN,,,,
Vay theo hồ sơ tín dụng (*),Vay NHNN > Vay theo hồ sơ tín dụng (*),Vay theo hồ sơ tín dụng (*),725.071,835.544,725071.0,835544.0
"Vay chiết khấu, tái chiết khấu các giấy tờ có giá","Vay NHNN > Vay chiết khấu, tái chiết khấu các giấy tờ có giá","Vay chiết khấu, tái chiết khấu các giấy tờ có giá",-,9.261.314,,9261314.0
,,,725.071,12.096.858,725071.0,12096858.0
