row_label_raw,row_label_full,(Triệu VND),Chưa quá hạn và chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá_1,Đã quá hạn nhưng chưa bị giảm giá_2,Đã quá hạn nhưng chưa bị giảm giá_3,Đã bị giảm giá,Tổng cộng,numeric__Chưa quá hạn và chưa bị giảm giá,numeric__Đã quá hạn nhưng chưa bị giảm giá,numeric__Đã quá hạn nhưng chưa bị giảm giá_1,numeric__Đã quá hạn nhưng chưa bị giảm giá_2,numeric__Đã quá hạn nhưng chưa bị giảm giá_3,numeric__Đã bị giảm giá,numeric__Tổng cộng
(Triệu VND),(Triệu VND),(Triệu VND),Chưa quá hạn và chưa bị giảm giá,Quá hạn từ 10 đến 90 ngày,Quá hạn từ 91 đến 180 ngày,Quá hạn từ 181 đến 360 ngày,Quá hạn trên 360 ngày,Đã bị giảm giá,Tổng cộng,,,,,,,
Tiền gửi tại Ngân hàng Nhà nước,(Triệu VND) > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,9.194.229,-,-,-,-,-,9.194.229,9194229.0,,,,,,9194229.0
Tiền gửi và cho vay các tổ chức tín dụng khác,(Triệu VND) > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,39.037.922,-,-,-,-,-,39.037.922,39037922.0,,,,,,39037922.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác - thuần,(Triệu VND) > Các công cụ tài chính phải sinh và các tài sản tài chính khác - thuần,Các công cụ tài chính phải sinh và các tài sản tài chính khác - thuần,172.946,-,-,-,-,-,172.946,172946.0,,,,,,172946.0
Cho vay khách hàng - thuần,(Triệu VND) > Cho vay khách hàng - thuần,Cho vay khách hàng - thuần,241.281.113,3.400.046,633.197,77.604,944.096,4.503.365,250.839.421,241281113.0,3400046.0,633197.0,77604.0,944096.0,4503365.0,250839421.0
Chứng khoán đầu tư - thuần,(Triệu VND) > Chứng khoán đầu tư - thuần,Chứng khoán đầu tư - thuần,21.374.790,-,-,-,-,201.066,21.575.856,21374790.0,,,,,201066.0,21575856.0
Tài sản tài chính khác - thuần,(Triệu VND) > Tài sản tài chính khác - thuần,Tài sản tài chính khác - thuần,29.132.121,-,-,-,-,714.295,29.846.416,29132121.0,,,,,714295.0,29846416.0
,,,340.193.121,3.400.046,633.197,77.604,944.096,5.418.726,350.666.790,340193121.0,3400046.0,633197.0,77604.0,944096.0,5418726.0,350666790.0
Tại ngày 31 tháng 12 năm 2018 (Triệu VND),Tại ngày 31 tháng 12 năm 2018 (Triệu VND),Tại ngày 31 tháng 12 năm 2018 (Triệu VND),Chưa quá hạn và chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,Đã bị giảm giá,Tổng cộng,,,,,,,
Tại ngày 31 tháng 12 năm 2018 (Triệu VND),Tại ngày 31 tháng 12 năm 2018 (Triệu VND),Tại ngày 31 tháng 12 năm 2018 (Triệu VND),Chưa quá hạn và chưa bị giảm giá,Quá hạn từ 10 đến 90 ngày,Quá hạn từ 91 đến 180 ngày,Quá hạn từ 181 đến 360 ngày,Quá hạn trên 360 ngày,Đã bị giảm giá,Tổng cộng,,,,,,,
Tiền gửi tại Ngân hàng Nhà nước,Tại ngày 31 tháng 12 năm 2018 (Triệu VND) > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,3.187.062,-,-,-,-,-,3.187.062,3187062.0,,,,,,3187062.0
Tiền gửi và cho vay các tổ chức tín dụng khác,Tại ngày 31 tháng 12 năm 2018 (Triệu VND) > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,34.127.477,-,-,-,-,-,34.127.477,34127477.0,,,,,,34127477.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác - thuần,Tại ngày 31 tháng 12 năm 2018 (Triệu VND) > Các công cụ tài chính phải sinh và các tài sản tài chính khác - thuần,Các công cụ tài chính phải sinh và các tài sản tài chính khác - thuần,58.228,-,-,-,-,-,58.228,58228.0,,,,,,58228.0
Cho vay khách hàng - thuần,Tại ngày 31 tháng 12 năm 2018 (Triệu VND) > Cho vay khách hàng - thuần,Cho vay khách hàng - thuần,197.895.023,3.015.238,37.509,444.088,1.362.465,2.959.500,205.713.823,197895023.0,3015238.0,37509.0,444088.0,1362465.0,2959500.0,205713823.0
Chứng khoán đầu tư - thuần,Tại ngày 31 tháng 12 năm 2018 (Triệu VND) > Chứng khoán đầu tư - thuần,Chứng khoán đầu tư - thuần,47.951.362,-,-,-,-,75.000,48.026.362,47951362.0,,,,,75000.0,48026362.0
Tài sản tài chính khác - thuần,Tại ngày 31 tháng 12 năm 2018 (Triệu VND) > Tài sản tài chính khác - thuần,Tài sản tài chính khác - thuần,17.968.725,-,-,-,-,1.955.721,19.924.446,17968725.0,,,,,1955721.0,19924446.0
,,,301.187.877,3.015.238,37.509,444.088,1.362.465,4.990.221,311.037.398,301187877.0,3015238.0,37509.0,444088.0,1362465.0,4990221.0,311037398.0
