row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Phần mềm máy vi tính Triệu VND,Tài sân cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Tài sân cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.486.801,206.354,33.110,3.726.265,3486801.0,206354.0,33110.0,3726265.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,795.166,10.226,4.262,809.654,795166.0,10226.0,4262.0,809654.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(918),(2.756),-,(3.674),-918.0,-2756.0,,-3674.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.281.049,213.824,37.372,4.532.245,4281049.0,213824.0,37372.0,4532245.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,5.805,172.714,21.090,199.609,5805.0,172714.0,21090.0,199609.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,158,23.135,4.414,27.707,158.0,23135.0,4414.0,27707.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.709),-,(1.709),,-1709.0,,-1709.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.963,194.140,25.504,225.607,5963.0,194140.0,25504.0,225607.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.480.996,33.640,12.020,3.526.656,3480996.0,33640.0,12020.0,3526656.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.275.086,19.684,11.868,4.306.638,4275086.0,19684.0,11868.0,4306638.0
