row_label_raw,row_label_full,col_0,Vốn điều lệ(i),Thặng dưvốn cổ phần,Cổ phiếuquỹ,Quỹ đầu tưphát triển,Quỹdự phòngtài chính,Quỹ dựtrữ bổsung vốnđiều lệ,Quỹ khác,Lợi nhuậnchưa phânphổi,Tổngcộng,numeric__Vốn điều lệ(i),numeric__Thặng dưvốn cổ phần,numeric__Cổ phiếuquỹ,numeric__Quỹ đầu tưphát triển,numeric__Quỹdự phòngtài chính,numeric__Quỹ dựtrữ bổsung vốnđiều lệ,numeric__Quỹ khác,numeric__Lợi nhuậnchưa phânphổi,numeric__Tổngcộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,TriệuVND,Triệu VND,Triệu VND,Triệu VND,TriệuVND,,,,,,,,,
Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,11.196.891,101.716,(5.260),20.013,803.621,376.952,1.022,2.030.685,14.525.640,11196891.0,101716.0,-5260.0,20013.0,803621.0,376952.0,1022.0,2030685.0,14525640.0
Phát hành cổ phiếu để chi trả cổ tức,Phát hành cổ phiếu để chi trả cổ tức,Phát hành cổ phiếu để chi trả cổ tức,839.270,-,-,-,-,-,-,(839.270),-,839270.0,,,,,,,-839270.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,1.623.633,1.623.633,,,,,,,,1623633.0,1623633.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,-,-,154.245,81.182,-,(235.427),-,,,,,154245.0,81182.0,,-235427.0,
Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,12.036.161,101.716,(5.260),20.013,957.866,458.134,1.022,2.579.621,16.149.273,12036161.0,101716.0,-5260.0,20013.0,957866.0,458134.0,1022.0,2579621.0,16149273.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,2.146.512,2.146.512,,,,,,,,2146512.0,2146512.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,(50.000),(50.000),,,,,,,,-50000.0,-50000.0
Trích lập bổ sung dự phòng rủi ro theo Đề án (ii),Trích lập bổ sung dự phòng rủi ro theo Đề án (ii),Trích lập bổ sung dự phòng rủi ro theo Đề án (ii),-,-,-,-,-,-,-,(143.853),(143.853),,,,,,,,-143853.0,-143853.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,-,3.538,214.651,107.326,-,(325.515),-,,,,3538.0,214651.0,107326.0,,-325515.0,
Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,12.036.161,101.716,(5.260),23.551,1.172.517,565.460,1.022,4.206.765,18.101.932,12036161.0,101716.0,-5260.0,23551.0,1172517.0,565460.0,1022.0,4206765.0,18101932.0
