row_label_raw,row_label_full,col_0,31/12/2019 > Kỳ hạn,31/12/2019 > Lãi suất năm,31/12/2018 > Kỳ hạn,31/12/2018 > Lãi suất năm,numeric__31/12/2019 > Kỳ hạn,numeric__31/12/2019 > Lãi suất năm,numeric__31/12/2018 > Kỳ hạn,numeric__31/12/2018 > Lãi suất năm
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,,,,
Trái phiếu Chính phủ,Trái phiếu Chính phủ,Trái phiếu Chính phủ,5 - 15 năm,"3,90% - 15,00%",3 - 10 năm,"4,60% - 11,2%",,,,
Trái phiếu do các TCTD khác trong nước phát hành,Trái phiếu do các TCTD khác trong nước phát hành,Trái phiếu do các TCTD khác trong nước phát hành,1 - 10 năm,"5,50% - 9,00%",2 - 10 năm,"7,90% - 9,33%",,,,
Trái phiếu do các TCKT trong nước phát hành,Trái phiếu do các TCTD khác trong nước phát hành > Trái phiếu do các TCKT trong nước phát hành,Trái phiếu do các TCKT trong nước phát hành,1 - 15 năm,"9,00% - 11,30%",1 - 15 năm,"8,98%",,,,0.0898
