row_label_raw,row_label_full,col_0,Số dư,Số dư_1,numeric__Số dư,numeric__Số dư_1
,,,31/12/2019Triệu VNDTài sản/(Nợ phải trả),31/12/2018Triệu VNDTài sản/(Nợ phải trả),,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty TNHH MTV Quản lý Nợ và Khai thác,Công ty TNHH MTV Quản lý Nợ và Khai thác,Công ty TNHH MTV Quản lý Nợ và Khai thác,Công ty TNHH MTV Quản lý Nợ và Khai thác,Công ty TNHH MTV Quản lý Nợ và Khai thác,,
"Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"")","Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"")","Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"")","Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"")","Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"")",,
▪ Góp vốn,"Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"") > ▪ Góp vốn",▪ Góp vốn,20.000,20.000,20000.0,20000.0
▪ Tiền gửi không kỳ hạn và có kỳ hạn,"Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"") > ▪ Tiền gửi không kỳ hạn và có kỳ hạn",▪ Tiền gửi không kỳ hạn và có kỳ hạn,(45.427),(104.139),-45427.0,-104139.0
▪ Lãi dự trả tiền gửi,"Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"") > ▪ Lãi dự trả tiền gửi",▪ Lãi dự trả tiền gửi,(838),(1.198),-838.0,-1198.0
"Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"")",,
▪ Góp vốn,"Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"") > ▪ Góp vốn",▪ Góp vốn,1.166.480,1.108.309,1166480.0,1108309.0
▪ Tiền gửi không kỳ hạn,"Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"") > ▪ Tiền gửi không kỳ hạn",▪ Tiền gửi không kỳ hạn,315.653,(557.520),315653.0,-557520.0
▪ Điều chuyển vốn,"Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"") > ▪ Điều chuyển vốn",▪ Điều chuyển vốn,1.468.982,2.107.714,1468982.0,2107714.0
▪ Lãi dự trả tiền gửi,"Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"") > ▪ Lãi dự trả tiền gửi",▪ Lãi dự trả tiền gửi,-,(4.673),,-4673.0
▪ Lãi dự thu cho vay,"Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"") > ▪ Lãi dự thu cho vay",▪ Lãi dự thu cho vay,-,12.818,,12818.0
"Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Cam"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Cam"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Cam"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Cam"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Cam"")",,
▪ Góp vốn,"Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Cam"") > ▪ Góp vốn",▪ Góp vốn,1.749.000,1.744.452,1749000.0,1744452.0
