row_label_raw,row_label_full,col_0,Nămđáo hạn,31/12/2022VND,1/1/2022VND,numeric__Nămđáo hạn,numeric__31/12/2022VND,numeric__1/1/2022VND
Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,,,
▪ Công ty Cổ phần Tập đoàn Masan,Công ty mẹ > ▪ Công ty Cổ phần Tập đoàn Masan,▪ Công ty Cổ phần Tập đoàn Masan,2022,-,2.662.750.000.000,2022.0,,2662750000000.0
Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,,,
▪ Công ty TNHH MEATDeli HN,Các công ty con sở hữu trực tiếp > ▪ Công ty TNHH MEATDeli HN,▪ Công ty TNHH MEATDeli HN,2022,-,87.000.000.000,2022.0,,87000000000.0
▪ Công ty TNHH MML Farm Nghệ An,Các công ty con sở hữu trực tiếp > ▪ Công ty TNHH MML Farm Nghệ An,▪ Công ty TNHH MML Farm Nghệ An,2022,-,106.000.000.000,2022.0,,106000000000.0
Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,,,
▪ Công ty TNHH MEATDeli Sài Gòn,Công ty con sở hữu gián tiếp > ▪ Công ty TNHH MEATDeli Sài Gòn,▪ Công ty TNHH MEATDeli Sài Gòn,2023,289.700.000.000,266.200.000.000,2023.0,289700000000.0,266200000000.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,,
▪ Công ty Cổ phần Tầm nhìn Masan,Bên liên quan khác > ▪ Công ty Cổ phần Tầm nhìn Masan,▪ Công ty Cổ phần Tầm nhìn Masan,2023,2.061.150.000.000,-,2023.0,2061150000000.0,
,,,,2.350.850.000.000,3.121.950.000.000,,2350850000000.0,3121950000000.0
