row_label_raw,row_label_full,Đầu tư vào các công ty con,Đầu tư vào các công ty con_1,Đầu tư vào các công ty con_2,Đầu tư vào các công ty con_3,Đầu tư vào các công ty con_4,Đầu tư vào các công ty con_5,Đầu tư vào các công ty con_6,numeric__Đầu tư vào các công ty con_1,numeric__Đầu tư vào các công ty con_2,numeric__Đầu tư vào các công ty con_3,numeric__Đầu tư vào các công ty con_4,numeric__Đầu tư vào các công ty con_5,numeric__Đầu tư vào các công ty con_6
,,,31/12/2022,31/12/2022,31/12/2022,1/1/2022,1/1/2022,1/1/2022,,,,,,
,,,% lợi ích kinh tế/ quyền biểu quyết,Giá gốc VND,Dự phòng giảm giá VND,% lợi ích kinh tế/ quyền biểu quyết,Giá gốc VND,Dự phòng giảm giá VND,,,,,,
Công ty TNHH MNS Meat (“MNS Meat”),Công ty TNHH MNS Meat (“MNS Meat”),Công ty TNHH MNS Meat (“MNS Meat”),"99,99%",2.700.003.000.000,-,"99,99%",2.700.003.000.000,-,0.9998999999999999,2700003000000.0,,0.9998999999999999,2700003000000.0,
Công ty TNHH MEAT Deli HN (“Meat Hà Nam”) (*),Công ty TNHH MEAT Deli HN (“Meat Hà Nam”) (*),Công ty TNHH MEAT Deli HN (“Meat Hà Nam”) (*),"100,00%",1.296.000.000.000,-,-,-,-,1.0,1296000000000.0,,,,
Công ty TNHH MML Farm Nghệ An (“Farm Nghệ An”) (*),Công ty TNHH MML Farm Nghệ An (“Farm Nghệ An”) (*),Công ty TNHH MML Farm Nghệ An (“Farm Nghệ An”) (*),"100,00%",864.000.000.000,-,-,-,-,1.0,864000000000.0,,,,
Công ty Cổ phần 3F VIỆT (“3F VIỆT”),Công ty Cổ phần 3F VIỆT (“3F VIỆT”),Công ty Cổ phần 3F VIỆT (“3F VIỆT”),"51,00%",614.774.300.000,(73.955.358.964),"51,00%",614.774.300.000,-,0.51,614774300000.0,-73955358964.0,0.51,614774300000.0,
Công ty Cổ phần Masan Jinju (“MSJ”) (**),Công ty Cổ phần Masan Jinju (“MSJ”) (**),Công ty Cổ phần Masan Jinju (“MSJ”) (**),"74,99%",315.033.720.000,-,-,-,-,0.7498999999999999,315033720000.0,,,,
,,,,5.789.811.020.000,(73.955.358.964),,3.314.777.300.000,-,,5789811020000.0,-73955358964.0,,3314777300000.0,
