row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017(Triệu VND),Quá hạn,Khônghướng lãi,Đến1 tháng,Từ trên 1đến3 tháng,Từ trên 3đến6 tháng,Từ trên 6đến12 tháng,Trên 1 năm,Tổng cộng,numeric__Quá hạn,numeric__Khônghướng lãi,numeric__Đến1 tháng,numeric__Từ trên 1đến3 tháng,numeric__Từ trên 3đến6 tháng,numeric__Từ trên 6đến12 tháng,numeric__Trên 1 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.832.862,-,-,-,-,-,1.832.862,,1832862.0,,,,,,1832862.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,6.682.178,-,-,-,-,6.682.178,,,6682178.0,,,,,6682178.0
Tiền gửi và cho vay các TCTD khác –gộp,Tài sản > Tiền gửi và cho vay các TCTD khác –gộp,Tiền gửi và cho vay các TCTD khác –gộp,196.000,-,33.250.871,11.077.516,5.491.336,636.472,2.017.472,52.669.667,196000.0,,33250871.0,11077516.0,5491336.0,636472.0,2017472.0,52669667.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,2.000.398,-,-,-,-,-,2.000.398,,2000398.0,,,,,,2000398.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,-,-,121.592,-,-,-,-,121.592,,,121592.0,,,,,121592.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,5.246.100,-,55.938.730,100.781.761,9.619.011,6.953.684,1.717.785,180.257.071,5246100.0,,55938730.0,100781761.0,9619011.0,6953684.0,1717785.0,180257071.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,200.000,109.279,118.997,299.901,799.849,543.783,47.563.118,49.634.927,200000.0,109279.0,118997.0,299901.0,799849.0,543783.0,47563118.0,49634927.0
"Gộp vốn, đầu tư dài hạn – gộp","Tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",-,4.322.116,-,-,-,-,-,4.322.116,,4322116.0,,,,,,4322116.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,2.276.831,-,-,-,-,-,2.276.831,,2276831.0,,,,,,2276831.0
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,357.249,9.681.042,-,-,-,-,-,10.038.291,357249.0,9681042.0,,,,,,10038291.0
,,,5.999.349,20.222.528,96.112.368,112.159.178,15.910.196,8.133.939,51.298.375,309.835.933,5999349.0,20222528.0,96112368.0,112159178.0,15910196.0,8133939.0,51298375.0,309835933.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,1.847.879,-,-,-,-,1.847.879,,,1847879.0,,,,,1847879.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,37.595.517,6.030.107,1.370.674,577.714,188.304,45.762.316,,,37595517.0,6030107.0,1370674.0,577714.0,188304.0,45762316.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,127.730.649,20.041.402,26.247.281,20.208.439,26.049.184,220.276.955,,,127730649.0,20041402.0,26247281.0,20208439.0,26049184.0,220276955.0
"Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,-,68,-,2.004,1.711,293.217,297.000,,,68.0,,2004.0,1711.0,293217.0,297000.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,-,5.245.955,5.245.955,,,,,,,5245955.0,5245955.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,5.115.366,-,-,-,-,-,5.115.366,,5115366.0,,,,,,5115366.0
,,,-,5.115.366,167.174.113,26.071.509,27.619.959,20.787.864,31.776.660,278.545.471,,5115366.0,167174113.0,26071509.0,27619959.0,20787864.0,31776660.0,278545471.0
Mức chênh nhạy cảm với lãi suấtnội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suấtnội bảng,Mức chênh nhạy cảm với lãi suấtnội bảng,5.999.349,15.107.162,(71.061.745),86.087.669,(11.709.763),(12.653.925),19.521.715,31.290.462,5999349.0,15107162.0,-71061745.0,86087669.0,-11709763.0,-12653925.0,19521715.0,31290462.0
