row_label_raw,row_label_full,Trái phiếu phổ thông phát hành năm 2010 (i),31/12/2017Triệu VND > 2.000.000,31/12/2016Triệu VND > 2.000.000,numeric__31/12/2017Triệu VND > 2.000.000,numeric__31/12/2016Triệu VND > 2.000.000
Trái phiếu phổ thông phát hành cho khách hàng doanh nghiệp (ii),Trái phiếu phổ thông phát hành cho khách hàng doanh nghiệp (ii),Trái phiếu phổ thông phát hành cho khách hàng doanh nghiệp (ii),3.182.593,-,3182593.0,
Trái phiếu phổ thông phát hành cho khách hàng cá nhân (iii),Trái phiếu phổ thông phát hành cho khách hàng cá nhân (iii),Trái phiếu phổ thông phát hành cho khách hàng cá nhân (iii),63.362,-,63362.0,
Giấy tờ có giá khác,Giấy tờ có giá khác,Giấy tờ có giá khác,-,36.953,,36953.0
,,,5.245.955,2.036.953,5245955.0,2036953.0
