row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Thặng dưvốn cổ phầnTriệu VND,Quỹ dự phòngtài chínhTriệu VND,Quỹ dự trữbổ sungvốn điều lệTriệu VND,Quỹ khácTriệu VND,Lợi nhuậnchuraphân phốiTriệu VND,Tổng cộngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Thặng dưvốn cổ phầnTriệu VND,numeric__Quỹ dự phòngtài chínhTriệu VND,numeric__Quỹ dự trữbổ sungvốn điều lệTriệu VND,numeric__Quỹ khácTriệu VND,numeric__Lợi nhuậnchuraphân phốiTriệu VND,numeric__Tổng cộngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,17.127.409,828.197,1.562.922,788.862,281.304,4.509.300,25.097.994,17127409.0,828197.0,1562922.0,788862.0,281304.0,4509300.0,25097994.0
Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,171.275,-,-,-,-,-,171.275,171275.0,,,,,,171275.0
Tăng vốn do trả cổ tức bằng cổ phiếu (iii),Tăng vốn do trả cổ tức bằng cổ phiếu (iii),Tăng vốn do trả cổ tức bằng cổ phiếu (iii),856.370,-,-,-,-,(856.370),-,856370.0,,,,,-856370.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,4.294.520,4.294.520,,,,,,4294520.0,4294520.0
Trích bổ sung các quỹ cho năm 2016,Trích bổ sung các quỹ cho năm 2016,Trích bổ sung các quỹ cho năm 2016,-,-,297.451,148.725,224.169,(670.345),-,,,297451.0,148725.0,224169.0,-670345.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(166.772),-,(166.772),,,,,-166772.0,,-166772.0
Trả cổ tức năm 2016 bằng tiền mặt (iii),Trả cổ tức năm 2016 bằng tiền mặt (iii),Trả cổ tức năm 2016 bằng tiền mặt (iii),-,-,-,-,-,(1.027.645),(1.027.645),,,,,,-1027645.0,-1027645.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(178.001),(178.001),,,,,,-178001.0,-178001.0
Trích quỹ dự trữ bắt buộc của các chi nhánh nước ngoài,Trích quỹ dự trữ bắt buộc của các chi nhánh nước ngoài,Trích quỹ dự trữ bắt buộc của các chi nhánh nước ngoài,-,-,-,-,1.992,(1.992),-,,,,,1992.0,-1992.0,
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,18.155.054,828.197,1.860.373,937.587,340.693,6.069.467,28.191.371,18155054.0,828197.0,1860373.0,937587.0,340693.0,6069467.0,28191371.0
